-xyz	xyz
azi	a/az/i
i-pcm	i/pcm
i-pms	i/pms
i-pms	i/pms
i-idp	i/idp
i-idp	i/idp
yabe	i/ab/e
i-hiv	i/hiv
i-cbp	i/cbp
i-kpi	i/kpi
i-pms	i/pms
i-pms	i/pms
i-pms	i/pms
i-pms	i/pms
lazo	la/i/zo
bazi	ba/az/i
into	i/n/tho
into	i/n/tho
ama-3	a/ma/3
ama-4	a/ma/4
into	i/n/tho
ye-cbp	ye/cbp
kobana	kobona
ku-3.1	ku/3.1
ku-3.2	ku/3.2
yenza	i/enz/a
ku-idp	ku/idp
ku-3.3	ku/3.3
yenza	i/enz/a
ku-idp	ku/idp
be-cbp	be/cbp
e-asia	e/asia
i-mdgs	i/mdgs
i-venn	i/venn
we-hiv	we/hiv
be-idp	be/idp
ze-idp	ze/idp
be-idp	be/idp
ye-idp	ye/idp
ye-idp	ye/idp
ku-idp	ku/idp
kobana	kobona
le-hiv	le/hiv
le-hiv	le/hiv
ye-hiv	ye/hiv
alo-ke	alo/ke
ne-cbp	na/cbp
we-fet	we/fet
ye-pms	ye/pms
secala	sa/cala
benza	ba/enz/a
bomma	ba/u/mma
we-idp	w/e/idp
lenze	li/enz/e
benze	ba/enz/e
ngemva	nga/mva
nenye	na/e/nye
nenye	na/e/nye
nenye	na/e/nye
iveke	i/i/veke
awazi	a/wu/azi
nenye	na/e/nye
ngabe	ngi/ab/e
ngemva	nga/mva
ngemva	nga/mva
ngemva	nga/mva
ama-24	a/ma/24
we-idp	w/e/idp
we-cbp	w/e/cbp
ngemva	nga/mva
senza	sa/enz/a
ngemva	nga/mva
benza	ba/enz/a
ngemva	nga/mva
we-1998	we/1998
ilwazi	i/lu/azi
kwakha	ku/akh/a
ilwazi	i/lu/azi
ilwazi	i/lu/azi
ipahla	i/phahla
ipahla	i/phahla
ipahla	i/phahla
ipahla	i/phahla
ilwazi	i/lu/azi
ka-2000	ka/2000
ilwazi	i/lu/azi
ilwazi	i/lu/azi
kwe-idp	kwe/idp
netiye	na/itiye
nge-iri	nga/iri
le-2.30	le/2.30
kwenza	ku/enz/a
kwenza	ku/enz/a
ilwazi	i/lu/azi
nge-iri	nga/iri
ilwazi	i/lu/azi
kwe-cbp	kwe/cbp
ilwazi	i/lu/azi
emuva	e/u/mu/va
ilwazi	i/lu/azi
we-1997	we/1997
no-mec	na/u/mec
zikulu	ezi/kulu
ye-iso	ya/i/iso
lama-52	la/ma/52
umbuzo	u/mu/buzo
ama-kpi	a/ma/kpi
ama-kpi	a/ma/kpi
negezi	na/i/gezi
lama-33	la/ma/33
umbiko	u/mu/biko
bonyana	ba/nyana
nekoro	na/i/koro
ilwazi	i/lu/az/i
umbuso	u/mu/buso
umbuso	u/mu/buso
ama-iri	a/ma/iri
umbono	u/mu/bono
nelwazi	na/lwazi
kwenye	kwa/e/nye
ikwazi	i/kwa/azi
ama-iri	a/ma/iri
bonyana	ba/nyana
nenani	na/i/nani
umbuzo	u/mu/buzo
ama-iri	a/ma/iri
we-aids	w/e/aids
ngefree	nga/free
negezi	na/i/gezi
ama-ngo	a/ma/ngo
we-aids	w/e/aids
ama-iri	a/ma/iri
leveke	le/i/veke
umbono	u/mu/bono
ukwazi	u/ku/az/i
umbuso	u/mu/buso
ama-ngo	a/ma/ngo
ama-cbo	a/ma/cbo
ukwazi	u/ku/az/i
lama-90	la/ma/90
ama-kpi	a/ma/kpi
yefundo	ya/fundo
ikhasi	i/li/khasi
okwenza	oku/enz/a
ilanga	i/li/langa
isandla	i/si/ndla
izinga	i/li/zinga
ukwakha	u/ku/akha
ilanga	i/li/langa
ilanga	i/li/langa
ilanga	i/li/langa
kwenza	ku/w/enz/a
i-ajenda	i/ajenda
kwenza	ku/w/enz/a
nelizwi	na/li/zwi
izinga	i/li/zinga
kwasi-6	kwa/asi/6
ngo-2006	nga/2006
eyenza	e/yi/enz/a
ilanga	i/li/langa
ilunga	i/li/lunga
ilunga	i/li/lunga
ithuba	i/li/thuba
isandla	i/si/ndla
nesinye	na/esi/nye
ngelwazi	nga/lwazi
iindawo	i/in/ndawo
kabanzi	ka/a/banzi
kwaziwa	ku/az/iw/a
izindlu	i/zin/ndlu
izindlu	i/zin/ndlu
iindawo	i/in/ndawo
wamanzi	wa/a/manzi
iindawo	i/in/ndawo
iindawo	i/in/ndawo
nabanye	na/aba/nye
neragelo	na/ragelo
lepahla	le/i/pahla
neminye	na/emi/nye
ukwenza	u/ku/enz/a
ukwakha	u/ku/akh/a
lestafu	le/i/stafu
ukwenza	u/ku/enz/a
nomunye	na/omu/nye
ngenca	nga/i/n/nca
ewadini	e/wadi/ini
nesinye	na/esi/nye
nomunye	na/omu/nye
nesinye	na/esi/nye
nesinye	na/esi/nye
ukwenza	u/ku/enz/a
nelemuko	na/lemuko
ukwenza	u/ku/enz/a
nabanye	na/aba/nye
ezimbili	ezin/bili
lokuba	la/u/ku/b/a
ukwakha	u/ku/akh/a
ukwakha	u/ku/akh/a
ngenzasi	nga/nzasi
neminye	na/emi/nye
lepahla	le/i/pahla
yamanzi	ya/a/manzi
ukwenza	u/ku/enz/a
intengo	i/n/thengo
nama-cbo	na/ma/cbo
umzombe	u/mu/zombe
nelinye	na/eli/nye
we-aicdd	w/e/aicdd
nesinye	na/esi/nye
we-aicdd	w/e/aicdd
we-aicdd	w/e/aicdd
iindawo	i/in/ndawo
ukwenza	u/ku/enz/a
neminye	na/emi/nye
yenziwe	i/enz/iw/e
nelinye	na/eli/nye
ukwenza	u/ku/enz/a
nama-kpa	na/ma/kpa
nomunye	na/omu/nye
yokobana	ya/kobana
wamanzi	wa/a/manzi
ezimbili	ezin/bili
yenengi	ya/e/nengi
ekorweni	e/koro/eni
hlangana	hlanga/ana
iqiniso	i/li/qiniso
nanyana	li/nani/ana
nanyana	li/nani/ana
nanyana	li/nani/ana
nanyana	li/nani/ana
mkhandlu	mu/khandlu
ngomtato	nga/umtato
khudlwana	khulu/ana
nabantu	na/a/ba/ntu
lenziwa	li/enz/iw/a
yemvelo	ya/i/n/velo
nanyana	li/nani/ana
hlangana	hlanga/ana
nabantu	na/a/ba/ntu
labantu	la/a/ba/ntu
hlangana	hlanga/ana
nawenza	na/wu/enz/a
khudlwana	khulu/ana
hlangana	hlanga/ana
khudlwana	khulu/ana
hlangana	hlanga/ana
hlangana	hlanga/ana
hlangana	hlanga/ana
nanyana	li/nani/ana
nanyana	li/nani/ana
kwepahla	ku/epahl/a
labantu	la/a/ba/ntu
hlangana	hlanga/ana
nanyana	li/nani/ana
angenza	a/nga/enz/a
hlangana	hlanga/ana
hlangana	hlanga/ana
yamazwe	ya/a/ma/zwe
wabantu	wa/a/ba/ntu
kwakhona	ku/akhon/a
womtlamo	wo/imtlamo
hlangana	hlanga/ana
nomtlamo	na/m/tlamo
sabantu	sa/a/ba/ntu
ku-yunidi	ku/yunidi
