ekulawuleni	e/ku/lawula/eni
komsebenzi	kwa/u/mu/sebenzi
ngesikhathi	nga/i/si/khathi
nomhlangano	na/u/m/hlangano
njengabantu	njenga/a/ba/ntu
komsebenzi	kwa/u/mu/sebenzi
emakomidini	e/ma/komidi/ini
yeendaweni	ye/e/n/ndawo/eni
kwemithetho	kwa/i/mi/thetho
weendaweni	we/e/n/ndawo/eni
nokungezwa	na/u/ku/nge/zw/a
komsebenzi	kwa/u/mu/sebenzi
wemisebenzi	wa/i/mi/sebenzi
nokukhiqizwa	na/ukukhiqizwa
nemisebenzi	na/i/mi/sebenzi
sokwenziwa	sa/u/ku/enz/iw/a
lemiphumela	le/i/mi/phumela
kwemithetho	kwa/i/mi/thetho
eminqopheni	e/mi/nqopho/eni
njengombana	njenga/omu/bana
eminyakeni	e/i/mi/nyaka/ini
eminyakeni	e/i/mi/nyaka/ini
njengerherho	njenga/irherho
nemisebenzi	na/i/mi/sebenzi
kwamabubulo	kwa/a/ma/bubulo
nokunikela	na/u/ku/nik/el/a
isahlukwesi	i/si/ahluko/esi
zemisebenzi	za/i/mi/sebenzi
ngobujamobu	nga/u/bu/jamobu
kwamasewula	kwa/a/ma/sewula
emazingeni	e/a/ma/zinga/ini
nokwakhiwa	na/u/ku/akh/iw/a
nemisebenzi	na/i/mi/sebenzi
ngesikhathi	nga/i/si/khathi
ngeminyango	nga/i/mi/nyango
lokwenziwa	la/u/ku/enz/iw/a
komsebenzi	kwa/u/mu/sebenzi
komsebenzi	kwa/u/mu/sebenzi
komsebenzi	kwa/u/mu/sebenzi
komsebenzi	kwa/u/mu/sebenzi
yemikhiqizo	ya/i/mi/khiqizo
wemisebenzi	wa/i/mi/sebenzi
zomphakathi	za/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
yomphakathi	ya/u/mu/phakathi
lephrojekthi	le/i/phrojekthi
zomphakathi	za/u/mu/phakathi
etheyibuleni	e/theyibula/eni
ngokunikela	nga/u/ku/nikel/a
womphakathi	wa/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
zezakhamuzi	za/i/zi/akhamuzi
ngeempendulo	nga/e/m/pendulo
womphakathi	wa/u/mu/phakathi
nokusebenza	na/u/ku/sebenz/a
nomphakathi	na/u/mu/phakathi
kokwakhiwa	kwa/u/ku/akh/iw/a
lomphakathi	la/u/mu/phakathi
bomphakathi	ba/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
nephrojekthi	na/i/phrojekthi
yomhlangano	y/o/i/m/hlangano
womphakathi	wa/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
ngokuphepha	ngo/u/ku/pheph/a
imali-ngeniso	i/mali/ngeniso
zomphakathi	za/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
ukwamukeleka	u/ku/amukelek/a
womphakathi	wa/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
yomphakathi	ya/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
ngokukhetha	nga/u/ku/kheth/a
zomphakathi	za/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
nokwakhelwa	na/ku/akh/el/w/a
zomphakathi	za/u/mu/phakathi
yokusebenza	ya/u/ku/sebenz/a
lezomnotho	la/i/za/u/m/notho
zomphakathi	za/u/mu/phakathi
emkhandlwini	e/m/khandlu/ini
zomphakathi	za/u/mu/phakathi
elingconywana	eli/ngcono/ana
ekupheleni	e/u/ku/phel/a/ini
nokusebenza	na/u/ku/sebenz/a
yokukhiqiza	ya/u/ku/khiqiz/a
lephrojekthi	le/i/phrojekthi
ngomsebenzi	nga/u/mu/sebenzi
emkhandlwini	e/m/khandlu/ini
eminyangweni	e/mi/nyango/eni
nekuhlelweni	na/ku/hlelo/eni
emphumeleni	e/mu/phumela/eni
lezamaphilo	la/i/zi/ma/philo
kobulwelobu	kwa/u/bu/lwelobu
lezamaphilo	la/i/zi/ma/philo
isizukulwana	i/si/zukulu/ana
nokweluleka	na/u/ku/elulek/a
yomphakathi	ya/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
womhlangano	w/o/i/m/hlangano
somphakathi	sa/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
ngesikhundla	nga/i/sikhundla
lephrojekthi	le/i/phrojekthi
lomphakathi	la/u/mu/phakathi
lomphakathi	la/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
lezamaphilo	la/i/zi/ma/philo
lezamaphilo	la/i/zi/ma/philo
womphakathi	wa/u/mu/phakathi
lezamaphilo	la/i/zi/ma/philo
lezamaphilo	la/i/zi/ma/philo
womphakathi	wa/u/mu/phakathi
yomphakathi	ya/u/mu/phakathi
abamphakathi	aba/mu/phakathi
yomphakathi	ya/u/mu/phakathi
nokwenzelwa	na/u/ku/enzelw/a
nekunqotjhwe	na/ku/nqotjhw/e
ngokuqinisa	nga/u/ku/qinis/a
ngokuqinisa	nga/u/ku/qinis/a
zomphakathi	za/u/mu/phakathi
ngokweendawo	nga/kwe/e/ndawo
womphakathi	wa/u/mu/phakathi
ngokobulili	nga/u/ko/bu/lili
ngokobulili	nga/u/ko/bu/lili
ngokuphatha	nga/u/ku/phath/a
ngokunikela	nga/u/ku/nikel/a
womphakathi	wa/u/mu/phakathi
yomphakathi	ya/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
lerhubhululo	le/i/rhubhululo
eemfunekweni	e/em/funeko/eni
kunemihlobo	ku/na/i/mi/hlobo
somphakathi	sa/u/mu/phakathi
yomphakathi	ya/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
ekupheleni	e/u/ku/phel/a/ini
nezakhamuzi	na/i/zi/akhamuzi
yomphakathi	ya/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
ngonobangela	nga/u/nobangela
lokubandula	la/u/ku/bandul/a
nomphakathi	na/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
somphakathi	sa/u/mu/phakathi
yokusebenza	ya/u/ku/sebenz/a
nokusebenza	na/u/ku/sebenz/a
ngokusekela	nga/u/ku/sekel/a
lomphakathi	la/u/mu/phakathi
njengeengorho	njenga/engorho
umthetjhwana	u/m/thetjho/ana
yokusebenza	ya/u/ku/sebenz/a
womphakathi	wa/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
komphakthi	kwa/u/mu/phakathi
bomphakathi	ba/u/mu/phakathi
yomphakathi	ya/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
womhlangano	w/o/i/m/hlangano
lomhlangano	lo/u/mu/hlangano
nomphakathi	na/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
lokufundisa	la/u/ku/fundis/a
lokusebenza	la/u/ku/sebenz/a
lezomnotho	la/i/za/u/m/notho
ngokomlando	nga/u/ku/m/lando
zomphakathi	za/u/mu/phakathi
wokusebenza	wa/u/ku/sebenz/a
ekusoziseni	e/ku/so/zisa/eni
somphakathi	sa/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
njengekomidi	njenga/i/komidi
lomphakathi	la/u/mu/phakathi
ozokwembatha	o/zoku/embath/a
emakghonweni	e/ma/kghono/eni
nomphakathi	na/u/mu/phakathi
nokusebenza	na/u/ku/sebenz/a
eqinisweni	e/i/li/qiniso/ini
zomphakathi	za/u/mu/phakathi
nangendlela	na/nga/i/n/dlela
womphakathi	wa/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
lomphakathi	la/u/mu/phakathi
kwezakhamuzi	kwe/zi/akhamuzi
lezamaphilo	la/i/zi/ma/philo
lezamaphilo	la/i/zi/ma/philo
nokuhlungwa	na/u/ku/hlungw/a
nomphakathi	na/u/mu/phakathi
ngokomhlobo	nga/u/ku/m/hlobo
ngokweendawo	nga/kwe/e/ndawo
umthetjhwana	u/m/thetjho/ana
wokukhiqiza	wa/u/ku/khiqiz/a
emkhandlwini	e/m/khandlu/ini
nezakhamuzi	na/i/zi/akhamuzi
yomphakathi	ya/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
somphakathi	sa/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
yomphakathi	ya/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
ekutlanyweni	e/ku/tlanyo/eni
zomphakathi	za/u/mu/phakathi
ngokujamela	ngo/u/ku/jamel/a
zezakhamuzi	za/i/zi/akhamuzi
nomphakathi	na/u/mu/phakathi
ngomsebenzi	nga/u/mu/sebenzi
nomphakathi	na/u/mu/phakathi
ngokwendlela	nga/kwe/n/dlela
lokulungisa	la/u/ku/lungis/a
womphakathi	wa/u/mu/phakathi
ngokomlando	nga/u/ku/m/lando
womphakathi	wa/u/mu/phakathi
nomphakathi	na/u/mu/phakathi
njengezinto	njenga/i/zin/nto
ekubekelweni	e/ku/bekelo/eni
zomphakathi	za/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
emakghonweni	e/ma/kghono/eni
wokukhiqiza	wa/u/ku/khiqiz/a
ngonobangela	nga/u/nobangela
nomphakathi	na/u/mu/phakathi
nokusebenza	na/u/ku/sebenz/a
nomphakathi	na/u/mu/phakathi
yokusebenza	ya/u/ku/sebenz/a
nokukhonjwa	na/u/ku/khonjw/a
ngokweendawo	nga/kwe/e/ndawo
ngeyokumema	nga/yo/n/ku/mema
ngezehlakalo	nga/zi/ehlakalo
lomphakathi	la/u/mu/phakathi
ngokunikela	nga/u/ku/nikel/a
nokuhlobana	na/u/ku/hloban/a
yomphakathi	ya/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
ngokunikela	nga/u/ku/nikel/a
yomphakathi	ya/u/mu/phakathi
ezakhiweni	e/i/zi/akhiwo/ini
nokusebenza	na/u/ku/sebenz/a
zomphakathi	za/u/mu/phakathi
zomphakathi	za/u/mu/phakathi
womphakathi	wa/u/mu/phakathi
yokusebenza	ya/u/ku/sebenz/a
wokuthokoza	wa/u/ku/thokoz/a
