nokunehlonipho	na/u/ku/nehlonipho
emhlanganweni	e/u/mu/hlangano/ini
ngokucophelela	nga/u/ku/cophelela
ekulumiswaneni	e/ku/lumiswana/eni
emhlanganweni	e/u/mu/hlangano/ini
eenkambisweni	e/e/nkambis/w/e/ini
nemininingwana	na/i/mi/niningwana
nekuwubumbeni	ne/ku/wu/bumb/e/ini
nokuthintanisa	na/u/ku/thintanisa
okqakathekileko	oku/qakathekileko
nokulinganisa	na/u/ku/lingan/is/a
nokuhlukileko	na/u/ku/hluk/ile/ko
kwezokuphatha	kwe/za/u/ku/phath/a
ekuphunguleni	e/u/ku/phungula/eni
ngokusebenzisa	nga/ku/sebenz/is/a
ekulinganiseni	e/ku/linganisa/eni
nangokwakhiwa	na/ngo/kwa/akh/iw/a
asesahlukweni	a/s/e/si/ahluko/eni
kunangendlela	ku/na/nga/i/n/dlela
nobuthakathaka	na/u/bu/thakathaka
emhlanganweni	e/u/mu/hlangano/ini
njengamakomidi	njenga/a/ma/komidi
esisombululweni	esi/sombululo/eni
esiphathelene	esi/phath/el/an/ile
eziphathelene	ezi/phathel/an/il/e
lokuhlanganisa	lo/u/ku/hlanganisa
kwamabhizinisi	kwa/a/ma/bhizinisi
nesikhatjhana	e/ne/si/khatjha/ana
lamagama-mmongo	la/ma/gama/mmongo
ngokulinganako	nga/u/ku/linganako
ekuhlwengiseni	e/ku/hlwengisa/eni
njengezabobaba	njenga/eza/bo/baba
ngokwebhayoloji	nga/kwe/bhayoloji
emhlanganweni	e/u/mu/hlangano/ini
emhlanganweni	e/u/mu/hlangano/ini
emhlanganweni	e/u/mu/hlangano/ini
emhlanganweni	e/u/mu/hlangano/ini
lamaphrojekthi	la/a/ma/phrojekthi
ekwethulweni	e/u/kwe/thul/w/a/ini
ngokukatelelwa	ngo/u/ku/katelelw/a
ngokuqakatheka	nga/u/ku/qakathek/a
nemithetjhwana	na/i/mi/thetjho/ana
nokubambisana	na/u/ku/bamb/is/an/a
efliphutjhadini	e/fliphutjhadi/ini
nemithetjhwana	na/i/mi/thetjho/ana
kungezeleleke	ku/nge/i/zel/el/ek/e
ifundo-sehlakalo	i/fundo/sehlakalo
eemphakamisweni	e/em/phakamiso/eni
ngokubonakalako	nga/ku/bonakala/ko
bebaqinisekise	ba/ba/qinis/ek/is/e
ahlakahlukeneko-	a/hlakahlukene/ko
efliphutjhadini	e/fliphutjhadi/ini
esihlelekileko	esi/si/hlelekile/ko
nokuthengiswa	na/u/ku/theng/is/w/a
nokuthengiswa	na/u/ku/theng/is/w/a
nokuthengiswa	na/u/ku/theng/is/w/a
kunokukatelela	ku/na/u/ku/katelela
ifundo-sehlakalo	i/fundo/sehlakalo
nokukhambelana	no/u/ku/khambelan/a
ngokuphumelela	nga/u/ku/phumelel/a
nemithetjhwana	na/i/mi/thetjho/ana
nokubuthelelwa	na/u/ku/buthelelw/a
efliphutjhadini	e/fliphutjhadi/ini
ngokuphathekako	nga/ku/phatheka/ko
efliphutjhadini	e/fliphutjhadi/ini
ngokwezehlakalo	nga/kwe/ze/hlakalo
ifundo-sehlakalo	i/fundo/sehlakalo
ngokwesibonelo	nga/u/kwe/si/bonelo
ngokuqakatheka	ngo/u/ku/qakathek/a
emabhodukulweni	e/ma/bhodukulo/eni
emigurugurwini	e/i/mi/gurugurw/ini
efliphutjhadini	e/fliphutjhadi/ini
nenembo-mbonweli	na/nembo/mbonweli
nesetjenziswako	na/setjenzisw/a/ko
lamatjhuguluko	la/a/ma/tjhugulu/ko
ifundo-sehlakalo	i/fundo/sehlakalo
irhemiso-kambiso	i/rhemiso/kambiso
nokuthengiswa	na/u/ku/theng/is/w/a
newababelethisi	na/wa/ba/belethisi
ezikhethekileko	ezi/thethek/ile/ko
ukungezelelwa	u/ku/nga/ezel/el/w/a
