ngokwakho	nga/kwakho
wendawo	wa/i/n/ndawo
nokudla	na/u/ku/dl/a
wendawo	wa/i/n/ndawo
umthetho	u/mu/thetho
ekhonjwe	e/khomb/w/e
kwenziwa	ku/enz/iw/a
yokobana	y/o/ikobana
kukwenza	ku/ku/enz/a
kukwenza	ku/ku/enz/a
kukwakha	ku/ku/akh/a
eqalene	e/qal/an/ile
izakhiwo	i/zi/akhiwo
zombuso	za/u/mu/buso
kukwenza	ku/ku/enz/a
kwamanzi	kwa/a/manzi
kokubili	ku/oku/bili
ngonyaka	nga/u/nyaka
ngebanga	nga/i/banga
umthetho	u/mu/thetho
emihlanu	e/emi/hlanu
umthetho	u/mu/thetho
kungeze	ku/nga/i/z/e
bendawo	ba/i/n/ndawo
kwenziwe	ku/enz/iw/e
kwelwazi	kwe/lu/az/i
kwenziwa	ku/enz/iw/a
kweminye	kwa/emi/nye
yombuso	ya/u/mu/buso
wombuso	wa/u/mu/buso
zombuso	za/u/mu/buso
yombuso	ya/u/mu/buso
zombuso	za/u/mu/buso
umthetho	u/mu/thetho
yebhajedi	ya/bhajedi
nokuthi	na/u/ku/th/i
lendlela	la/i/ndlela
zendlela	za/i/ndlela
nembangi	na/i/mbangi
kwenziwe	ku/enz/iw/e
bendawo	ba/i/n/ndawo
izakhiwo	i/zi/akhiwo
umthetho	u/mu/thetho
ezingeni	e/zinga/ini
ngokuya	nga/u/ku/y/a
zimzombe	zi/mu/zombe
izakhiwo	i/zi/akhiwo
nombuso	na/u/mu/buso
bendawo	ba/i/n/ndawo
komuntu	kwa/u/mu/ntu
komuntu	kwa/u/mu/ntu
komuntu	kwa/u/mu/ntu
yombuso	ya/u/mu/buso
yombuso	ya/u/mu/buso
nomzombe	no/mu/zombe
wombuso	wa/u/mu/buso
ngebanga	nga/i/banga
bombuso	ba/u/mu/buso
lomnotho	la/u/mnotho
nendawo	na/i/n/ndawo
kwenengi	kwa/e/nengi
nekghono	na/i/kghono
lebubulo	le/i/bubulo
enarheni	e/narha/eni
kwakhiwe	ku/akh/iw/e
yendawo	ya/i/n/ndawo
yendawo	ya/i/n/ndawo
yomzombe	yo/mu/zombe
nekareko	na/i/kareko
nekghono	na/i/kghono
kwelinye	kwa/eli/nye
umthetho	u/mu/thetho
zombuso	za/u/mu/buso
netjhejo	na/i/tjhejo
werherho	wa/i/rherho
abama-300	aba/ma/300
yombuso	ya/u/mu/buso
lombuso	la/u/mu/buso
negalelo	na/i/galelo
se-ciskei	s/e/ciskei
nombuso	na/u/mu/buso
neragelo	na/i/ragelo
umphathi	u/mu/phathi
ngokuya	nga/u/ku/y/a
elizweni	eli/zwe/ini
ngamanye	nga/ama/nye
yezindlu	ye/e/zindlu
yombuso	ya/u/mu/buso
zombuso	za/u/mu/buso
isakhelo	i/si/akhelo
zommoya	za/u/mu/moya
zombuso	za/u/mu/buso
yombuso	ya/u/mu/buso
umlayezo	u/mu/layezo
umlayezo	u/mu/layezo
nenturhu	na/i/nturhu
ezingeni	e/zinga/ini
ngomunye	nga/omu/nye
wendawo	wa/i/n/ndawo
ngonyaka	nga/u/nyaka
we-afrika	w/e/afrika
lethulwe	le/i/thulwe
lendawo	la/i/n/ndawo
ekhonjwe	e/khomb/w/e
komraro	kwa/u/m/raro
nombuso	na/u/mu/buso
wendawo	wa/i/n/ndawo
nokuthi	na/u/ku/th/i
wombuso	wa/u/mu/buso
ezili-7.9	ezi/li/7.9
wombuso	wa/u/mu/buso
wendawo	wa/i/n/ndawo
nendawo	na/i/n/ndawo
lombuso	la/u/mu/buso
lombuso	la/u/mu/buso
izakhiwo	i/zi/akhiwo
yombuso	ya/u/mu/buso
kwenziwa	ku/enz/iw/a
ngezinye	nga/ezi/nye
kwesinye	kwa/esi/nye
bendawo	ba/i/n/ndawo
netjhejo	na/i/tjhejo
leragelo	le/i/ragelo
umehluko	u/mu/ehluko
umehluko	u/mu/ehluko
kubanjwe	ku/bamb/w/e
bendawo	ba/i/n/ndawo
izakhiwo	i/zi/akhiwo
lendawo	la/i/n/ndawo
yesiyingi	ya/siyingi
yombuso	ya/u/mu/buso
umehluko	u/mu/ehluko
lekomidi	le/i/komidi
lomgomo	lo/i/mu/gomo
ezingeni	e/zinga/ini
lekomidi	le/i/komidi
komuntu	kwa/u/mu/ntu
kwabanye	kwa/aba/nye
wetuthuko	wa/tuthuko
ngokuya	nga/u/ku/y/a
yombuso	ya/u/mu/buso
wombuso	wa/u/mu/buso
ngakho-ke	nga/kho/ke
umthetho	u/mu/thetho
negalelo	na/i/galelo
neragelo	na/i/ragelo
erenkeni	e/renke/eni
wendawo	wa/i/n/ndawo
lekomidi	le/i/komidi
lendawo	la/i/n/ndawo
wendawo	wa/i/n/ndawo
ngebanga	nga/i/banga
nombono	na/u/mu/bono
nezakhiwo	na/zakhiwo
ngamanzi	nga/a/manzi
umthetho	u/mu/thetho
umthetho	u/mu/thetho
nokudla	na/u/ku/dl/a
ezakwazi	e/za/ku/azi
lombuso	la/u/mu/buso
kwenziwe	ku/enz/iw/e
kwenziwe	ku/enz/iw/e
womtlamo	w/o/imtlamo
negalelo	na/i/galelo
ukwabiwa	u/ku/abiw/a
yombuso	ya/u/mu/buso
nombuso	na/u/mu/buso
zombili	za/u/mu/bili
elili-0.5	eli/li/0.5
wombuso	wa/u/mu/buso
msinyana	mu/sini/ana
ngonyaka	nga/u/nyaka
bendawo	ba/i/n/ndawo
ezakwazi	e/za/ku/azi
ebunyeni	e/bunya/eni
womtlamo	w/o/imtlamo
umthetho	u/mu/thetho
ngonyaka	nga/u/nyaka
ngokuya	nga/u/ku/y/a
leendawo	le/i/endawo
zombili	za/u/mu/bili
zedorobha	za/dorobha
ezingeni	e/zinga/ini
lombuso	la/u/mu/buso
kwesinye	kwa/esi/nye
yombuso	ya/u/mu/buso
lendlela	la/i/ndlela
lendlela	la/i/ndlela
wendawo	we/i/n/ndawo
wendawo	we/i/n/ndawo
ngendaba	nga/i/ndaba
yombuso	ya/u/mu/buso
nokudla	na/u/ku/dl/a
iinrhasi	i/i/narhasi
kwamanzi	kwa/a/manzi
lombuso	la/u/mu/buso
wendawo	wa/i/n/ndawo
wombuso	wa/u/mu/buso
kwenziwe	ku/enz/iw/e
kwerherho	kwa/rherho
kwenzeka	ku/enz/ek/a
lendawo	la/i/n/ndawo
