kokunaka	kwa/u/ku/nak/a
ebujameni	e/bu/jama/eni
okufunwa	a/u/ku/fun/w/a
ukwenzela	u/ku/enz/el/a
ngokudobha	nga/ukudobha
ukwenzela	u/ku/enz/el/a
wokutlama	wa/u/ku/tlama
ukwenzela	u/ku/enz/el/a
emtlameni	e/m/tlamo/eni
ngelanga	nga/i/li/langa
nesihlobo	na/i/si/hlobo
komngani	kwa/u/mu/ngani
inturhu-ke	i/n/turhu/ke
ngendlela	nga/i/n/dlela
ngesigaba	nga/i/si/gaba
ngesigaba	nga/i/si/gaba
nesiqunto	na/i/si/qunto
sokususwa	sa/u/ku/suswa
emtlameni	e/m/tlamo/eni
namahlelo	na/a/ma/hlelo
ukwenziwa	u/ku/enz/iw/a
kokuqala	kwa/u/ku/qal/a
sabafundi	sa/a/ba/fundi
yemikhumbi	ya/mi/khumbi
noburholi	na/u/bu/rholi
kubahlali	ku/a/ba/hlali
ngendlela	nga/i/n/dlela
ukwakhiwa	u/ku/akh/iw/a
ukwenziwa	u/ku/enz/iw/a
ngendlela	nga/i/n/dlela
ngemigomo	nga/i/mi/gomo
ukwenziwa	u/ku/enz/iw/a
ukwenzela	u/ku/enz/el/a
endleleni	e/n/dlela/eni
labafundi	la/a/ba/fundi
ukwenzela	u/ku/enz/el/a
eenarheni	e/e/narha/eni
kwezinga	kwa/i/li/zinga
namazinga	na/a/ma/zinga
kwezinga	kwa/i/li/zinga
owamukela	o/wa/amukel/a
ukwenziwa	u/ku/enz/iw/a
nabadlali	na/a/ba/dlali
ngendlela	nga/i/n/dlela
ngendlela	nga/i/n/dlela
ingenzani	i/nge/enza/ni
ukwenziwa	u/ku/enz/iw/a
ukwenziwa	u/ku/enz/iw/a
ukwenzela	u/ku/enz/el/a
bazakwenza	ba/zaku/enza
ukwenziwa	u/ku/enz/iw/a
weminyaka	wa/i/mi/nyaka
eendabeni	e/e/ndaba/eni
kokwenza	kwa/u/ku/enz/a
nesiqhema	na/i/si/qhema
nesiqhema	na/i/si/qhema
komnyaka	kwa/u/mu/nyaka
kukunikela	ku/kunekel/a
ukwenzela	u/ku/enz/el/a
nemitlamo	na/i/mi/tlamo
nesiqhema	na/i/si/qhema
wokutlama	wa/u/ku/tlama
ukwenzela	u/ku/enz/el/a
nemirholo	na/i/mi/rholo
kwabanzima	ku/abanzim/a
nemihlobo	na/i/mi/hlobo
ukwenzela	u/ku/enz/el/a
erherhweni	e/rherho/eni
nesibopho	na/i/si/bopho
ngendlela	nga/i/n/dlela
ngendlela	nga/i/n/dlela
nengeniso	na/i/n/geniso
emibonweni	e/mibono/eni
nengeniso	na/i/n/geniso
ukwenzela	u/ku/enz/el/a
ukwenzela	u/ku/enz/el/a
ukwenzela	u/ku/enz/el/a
ukwenzela	u/ku/enz/el/a
labahlali	la/a/ba/hlali
ukwenzela	u/ku/enz/el/a
nokutlama	na/u/ku/tlama
ukwenzela	u/ku/enz/el/a
bemihlobo	ba/i/mi/hlobo
wokubekwa	wa/ku/bek/w/a
ngobutjha	nga/u/bu/tjha
komnyaka	kwa/u/mu/nyaka
ezuzekako	e/zuz/el/a/ko
ukwenzela	u/ku/enz/el/a
ukwenzela	u/ku/enz/el/a
kwabobaba	kwa/a/bo/baba
lokutlama	la/u/ku/tlama
ngendlela	nga/i/n/dlela
zamazinga	za/a/ma/zinga
namahlelo	na/a/ma/hlelo
ngendlela	nga/i/n/dlela
nezefundo	na/i/ze/fundo
wamahlelo	wa/a/ma/hlelo
ngendlela	nga/i/n/dlela
kokuqala	kwa/u/ku/qal/a
namathuba	na/a/ma/thuba
ngemiraro	nga/i/mi/raro
namathuba	na/a/ma/thuba
zokwabiwa	zo/ku/ab/iw/a
namahlelo	na/a/ma/hlelo
nokuhlela	na/u/ku/hlela
lokubamba	lo/i/ku/bamba
nomlamuli	na/u/m/lamuli
ukwenzela	u/ku/enz/el/a
neyendawo	ne/ye/n/ndawo
kokwenza	kwa/u/ku/enz/a
ukwenzela	u/ku/enz/el/a
ngendlela	nga/i/n/dlela
lomthetho	lo/i/m/thetho
komnotho	kwa/u/mu/notho
inegalelo	i/na/i/galelo
amabubulo	a/a/ma/bubulo
nemindeni	na/i/mi/ndeni
ngendlela	nga/i/n/dlela
eenarheni	e/e/narha/eni
ngendlela	nga/i/n/dlela
ekuqedeni	e/ku/qeda/eni
ngendlela	nga/i/n/dlela
ngobutjha	nga/u/bu/tjha
wamahlelo	wa/a/ma/hlelo
ukwenzela	u/ku/enz/el/a
komnyaka	kwa/u/mu/nyaka
kwezinga	kwa/i/li/zinga
namazinga	na/a/ma/zinga
lamalahle	la/a/ma/lahle
ngendlela	nga/i/n/dlela
nokondleka	na/ukondleka
ngendlela	nga/i/n/dlela
komnyaka	kwa/u/mu/nyaka
nesidingo	na/i/si/dingo
nemihlobo	na/i/mi/hlobo
ngelanga	nga/i/li/langa
komnyaka	kwa/u/mu/nyaka
ngobutjha	nga/u/bu/tjha
eqinisweni	e/qiniso/ini
ngendlela	nga/i/n/dlela
ngendlela	nga/i/n/dlela
ngelanga	nga/i/li/langa
umsebenzi	u/mu/sebenz/i
lomthetho	lo/i/m/thetho
kokwenza	kwa/u/ku/enz/a
emithathu	a/i/mi/thathu
bemakhaya	be/a/ma/khaya
ekarekweni	e/kareko/eni
ngendlela	nga/i/n/dlela
ngendlela	nga/i/n/dlela
ngendlela	nga/i/n/dlela
neneragelo	na/ineragelo
ngemibono	nga/i/mi/bono
emizameni	e/mi/zamo/eni
nemihlobo	na/i/mi/hlobo
ukwenzela	u/ku/enz/el/a
namazinga	na/a/ma/zinga
ukwenzela	u/ku/enz/el/a
komnotho	kwa/u/mu/notho
ubonakele	u/bonakal/ile
ebujameni	e/bu/jama/eni
wokuhloma	wa/u/ku/hloma
ukwenzela	u/ku/enz/el/a
elaneleko	e/li/anele/ko
ngendlela	nga/i/n/dlela
ukwenziwa	u/ku/enz/iw/a
ngemibuzo	nga/i/mi/buzo
komtlamo	kwa/u/mu/tlamo
ngemitlamo	nga/mi/tlamo
komnotho	kwa/u/mu/notho
komnotho	kwa/u/mu/notho
eenarheni	e/e/narha/eni
komnotho	kwa/u/mu/notho
ngendlela	nga/i/n/dlela
eenkolweni	e/enkolo/eni
ngendlela	nga/i/n/dlela
ngendlela	nga/i/n/dlela
namathuba	na/a/ma/thuba
komtlamo	kwa/u/mu/tlamo
eenarheni	e/e/narha/eni
eenkorweni	e/enkoro/eni
nakwabiwa	na/ku/ab/iw/a
namazinga	na/a/ma/zinga
ngemirholo	nga/mi/rholo
ngendlela	nga/i/n/dlela
ukwenzela	u/ku/enz/el/a
komzimba	kwa/u/mu/zimba
ukwenzela	u/ku/enz/el/a
yamaphilo	ya/a/ma/philo
ngendlela	nga/i/n/dlela
wesifunda	wa/i/si/funda
sokubusa	sa/u/ku/bu/s/a
ukwenziwa	u/ku/enz/iw/a
unelungelo	u/na/lungelo
ngendlela	nga/i/n/dlela
ngendlela	nga/i/n/dlela
emsinyana	e/mu/sinyan/a
eenarheni	e/e/narha/eni
ukwenzela	u/ku/enz/el/a
ngendlela	nga/i/n/dlela
umsebenzi	u/mu/sebenz/i
kokwenza	kwa/u/ku/enz/a
ngendlela	nga/i/n/dlela
weminyaka	wa/i/mi/nyaka
ukwenzela	u/ku/enz/el/a
lomthetho	la/u/m/thetho
kokwenza	kwa/u/ku/enz/a
namalunga	na/a/ma/lunga
esikolweni	esi/kolo/ini
ekwazini	e/u/ku/azi/ini
namahlelo	na/a/ma/hlelo
sokutlama	sa/u/ku/tlama
ukwenziwa	u/ku/enz/iw/a
sezikhona	se/e/zi/khona
zemidlalo	za/i/mi/dlalo
woburholi	wo/o/bu/rholi
kokwabiwa	ko/ku/ab/iw/a
langabomu	la/i/n/gabomu
nesidingo	na/i/si/dingo
sokuhlela	sa/u/ku/hlela
ngezenzelo	nga/izenzelo
ukwenzela	u/ku/enz/el/a
komhlaba	kwa/u/mu/hlaba
nendlwana	na/i/n/dlwana
yebhanga	ya/i/li/bhanga
kwabangela	ku/abangel/a
yokulimela	ya/ku/limela
wokutlama	wa/u/ku/tlama
ukwenziwa	u/ku/enz/iw/a
labahlali	la/a/ba/hlali
ezindlini	ezi/n/dlu/ini
kilendawo	ki/le/n/ndawo
ukwakhiwa	u/ku/akh/iw/a
ngendlela	nga/i/n/dlela
emtlameni	e/m/tlamo/eni
ebubulweni	e/bubulo/ini
komtlamo	kwa/u/mu/tlamo
ukwenzela	u/ku/enz/el/a
ngendlela	nga/i/n/dlela
ukwenzela	u/ku/enz/el/a
ngendlela	nga/i/n/dlela
komnotho	kwa/u/mu/notho
umsebenzi	u/mu/sebenz/i
ngendlela	nga/i/n/dlela
ngendlela	nga/i/n/dlela
ekuzuzeni	e/ku/zuza/eni
wesifunda	wa/i/si/funda
lokusisa	la/u/ku/si/s/a
ngendlela	nga/i/n/dlela
ngendlela	nga/i/n/dlela
kombango	kwa/u/mu/bango
erherhweni	e/rherho/eni
ngendlela	nga/i/n/dlela
eendabeni	e/e/ndaba/eni
nobuchaka	na/u/bu/chaka
ngendlela	nga/i/n/dlela
ngobulili	nga/u/bu/lili
esikolweni	esi/kolo/ini
wokutlama	wa/u/ku/tlama
ngendlela	nga/i/n/dlela
emtlameni	e/m/tlamo/eni
nemirholo	na/i/mi/rholo
namazinga	na/a/ma/zinga
kilendawo	ki/le/n/ndawo
labahlali	la/a/ba/hlali
kilendawo	ki/le/n/ndawo
