lelikhasi	la/li/khasi
emakomidi	a/ma/komidi
lwetintfo	lwa/tin/tfo
nesihloko	na/si/hloko
ngendzaba	nga/n/dzaba
ngebunono	nga/bu/nono
ngelinani	nga/li/nani
nemibhalo	na/mi/bhalo
elikomidi	a/li/komidi
senkinga	sa/i/n/kinga
nemandla	na/e/ma/ndla
esikhatsi	a/si/khatsi
ngemnyaka	nga/m/nyaka
kwemibono	kwa/mi/bono
esifundvo	a/si/fundvo
sakhamuti	si/akhamuti
esifundvo	a/si/fundvo
kwendlula	ku/endlul/a
lokweyeme	lo/ku/eyeme
esikhatsi	a/si/khatsi
nemmango	na/u/m/mango
abakwati	a/ba/ku/at/i
emikhakha	a/mi/khakha
temakethe	ta/ma/kethe
nemazinga	na/ma/zinga
mawetama	ma/wu/etam/a
netitselo	na/ti/tselo
evikini	e/li/viki/ini
ngemhambo	nga/m/hambo
nemmango	na/u/m/mango
mayelana	li/mayela/na
takhamiti	ti/akhamiti
kwelinani	kwa/li/nani
nemmango	na/u/m/mango
ngetulu	nga/i/li/tulu
wetakhiwo	wa/ti/khiwo
emikhakha	a/mi/khakha
yebuncusa	ya/bu/ncusa
kwemuntfu	kwa/mu/ntfu
tebantfu	ta/e/ba/ntfu
nemandla	na/e/ma/ndla
emakomidi	a/ma/komidi
ekucasha	a/uku/cash/a
ngemigomo	nga/mi/gomo
esifundvo	a/si/fundvo
bendzawo	ba/i/n/dzawo
betigodzi	ba/ti/godzi
bendzawo	ba/i/n/dzawo
wesigodzi	wa/si/godzi
kwelitiko	kwa/li/tiko
yindlela	yi/i/n/dlela
betinsita	ba/tin/sita
lendzawo	le/i/n/dzawo
nesibopho	na/si/bopho
ngetimali	nga/ti/mali
lesimeme	le/simam/ile
lekugcina	la/ku/gcina
evikini	e/li/viki/ini
kwemibono	kwa/mi/bono
kwemibono	kwa/mi/bono
betinsita	ba/tin/sita
kunchubo	ku/i/n/chubo
kwetimali	kwa/ti/mali
kunchubo	ku/i/n/chubo
nemmango	na/u/m/mango
lemigomo	le/i/mi/gomo
lelicembu	la/li/cembu
lwetintfo	lwa/tin/tfo
abakwati	a/ba/ku/at/i
kwemvelo	kwa/i/n/velo
kwetimali	kwa/ti/mali
akakwati	a/ka/ku/at/i
nelitfuba	na/li/tfuba
uyetfusa	u/ya/etfus/a
akakwati	a/ka/ku/at/i
kwetimali	kwa/ti/mali
lokuvile	loku/i/v/ile
abangeva	a/ba/nga/v/a
yesekele	ye/esek/el/e
ngempahla	nga/m/pahla
losimeme	lo/simam/ile
kwetintfo	kwa/tin/tfo
neluhlelo	na/lu/hlelo
kwemanti	kwa/e/ma/nti
kwemanti	kwa/e/ma/nti
kwetindlu	kwa/tin/dlu
kwetindlu	kwa/tin/dlu
lemigomo	le/i/mi/gomo
kweluleka	ku/elulek/a
nesibopho	na/si/bopho
lesahluko	lesi/ahluko
lesahluko	lesi/ahluko
lemigomo	le/i/mi/gomo
letfunywe	le/tfum/w/e
lowonako	lo/wu/onak/o
kwemhlaba	kwa/m/hlaba
betinsita	ba/tin/sita
nemmango	na/u/m/mango
emangweni	e/mango/ini
takhamiti	ta/akhamiti
nematfuba	na/ma/tfuba
yeshejuli	ye/ishejuli
ngetigaba	nga/ti/gaba
nemazinga	na/ma/zinga
takhamuti	ti/akhamuti
ehhovisi	e/li/hhovisi
lwemphilo	lwa/m/philo
kwemtimba	kwa/m/timba
bendzawo	ba/i/n/dzawo
nemakhaya	na/ma/khaya
kwetindlu	kwa/tin/dlu
kwetindlu	kwa/tin/dlu
takhamiti	ti/akhamiti
takhamuti	ti/akhamuti
ngeliwadi	nga/li/wadi
ngeliwadi	nga/li/wadi
lendzawo	le/i/n/dzawo
yindlela	yi/i/n/dlela
kumiswa	ku/i/m/is/w/a
wekutala	wa/uku/tal/a
ngebulili	nga/bu/lili
nemagugu	na/e/ma/gugu
betinsita	ba/tin/sita
netikhala	na/ti/khala
ngaloko-ke	ngaloko/ke
lwetintfo	lwa/tin/tfo
kwemvelo	kwa/i/n/velo
tekwenta	ta/uku/ent/a
betinsita	ba/tin/sita
betinsita	ba/tin/sita
kunchubo	ku/i/n/chubo
besigodzi	ba/si/godzi
bendzawo	ba/i/n/dzawo
kweligede	kwa/li/gede
lendzawo	le/i/n/dzawo
neludzaka	na/lu/dzaka
bendzawo	ba/i/n/dzawo
netilwane	na/ti/lwane
nelikhono	na/li/khono
lenchubo	le/i/n/chubo
wemikhuba	wa/mi/khuba
betinsita	ba/tin/sita
lwemklamo	lwa/m/klamo
nemazinga	na/ma/zinga
nebahleli	na/ba/hleli
nemmango	na/u/m/mango
bendzawo	ba/i/n/dzawo
betigodzi	ba/ti/godzi
bendzawo	ba/i/n/dzawo
wesigodzi	wa/si/godzi
takhamiti	ti/akhamiti
nemmango	na/u/m/mango
kwesibili	kwa/si/bili
nemmango	na/u/m/mango
mayelana	li/mayela/na
nemazinga	na/ma/zinga
kunchubo	ku/i/n/chubo
neluhlaka	na/lu/hlaka
temuntfu	ta/u/mu/ntfu
takhamuti	ti/akhamuti
lendzawo	la/i/n/dzawo
lendzawo	le/i/n/dzawo
takhamiti	ti/akhamiti
takhamiti	ti/akhamiti
ekushisa	a/ku/sh/is/a
emangweni	e/mango/ini
nemmango	na/u/m/mango
netincumo	na/ti/ncumo
kwetintfo	kwa/tin/tfo
ngemnyaka	nga/m/nyaka
-siholela	si/hol/el/a
tekwenta	ta/uku/ent/a
ehhovisi	e/li/hhovisi
nemtsetfo	na/m/tsetfo
takhamuti	ti/akhamuti
yengamela	i/engamel/a
kwemibono	kwa/mi/bono
kwekucala	kwa/ku/cala
betinsita	ba/tin/sita
tincwadzi	tin/ncwadzi
ngeligama	nga/li/gama
kungenta	ku/nga/ent/a
nemmango	na/u/m/mango
nemmango	na/u/m/mango
yesicheme	ya/si/cheme
nekomidi	na/li/komidi
ngaloko-ke	ngaloko/ke
betinsita	ba/tin/sita
ngelusuku	nga/lu/suku
kunchubo	ku/i/n/chubo
ngebulili	nga/bu/lili
kumigomo	ku/i/mi/gomo
kungakha	ku/nga/akh/a
webudlova	wa/bu/dlova
kunesamba	ku/na/samba
kwelinani	kwa/li/nani
lemphahla	la/m/phahla
ngetimali	nga/ti/mali
nemphatsi	na/m/phatsi
neluhlelo	na/lu/hlelo
bendzawo	ba/i/n/dzawo
nemmango	na/u/m/mango
kwendlula	ku/endlul/a
mayelana	li/mayela/na
mayelana	li/mayela/na
nemindeni	na/mi/ndeni
webuphuya	wa/bu/phuya
nemfundvo	na/m/fundvo
nemagugu	na/e/ma/gugu
lenchubo	le/i/n/chubo
lwendzaba	lwa/n/dzaba
lenchubo	le/i/n/chubo
kwemibono	kwa/mi/bono
kwetintfo	kwa/tin/tfo
nemmango	na/u/m/mango
elikomidi	a/li/komidi
welicembu	wa/li/cembu
yinchubo	yi/i/n/chubo
ngesigaba	nga/si/gaba
sekwandza	se/ku/andza
betinsita	ba/tin/sita
betinsita	ba/tin/sita
kunchubo	ku/i/n/chubo
nesiteshi	na/si/teshi
esifundvo	a/si/fundvo
senchubo	sa/i/n/chubo
yetinsita	ya/tin/sita
kwetintfo	kwa/tin/tfo
kwesigamu	kwa/si/gamu
netetfulo	na/te/tfulo
esifundvo	a/si/fundvo
africa-nje	africa/nje
emakomidi	a/ma/komidi
kwetigaba	kwa/ti/gaba
kwemklamo	kwa/m/klamo
ngetimali	nga/ti/mali
takhamiti	ti/akhamiti
takhamiti	ti/akhamiti
kwemibono	kwa/mi/bono
lemibuto	le/i/mi/buto
semphahla	sa/m/phahla
yentsela	ya/i/n/tsela
nekwelula	na/ku/elula
yebudzala	ya/bu/dzala
yemitamo	ya/i/mi/tamo
ngemnyaka	nga/m/nyaka
kwemibono	kwa/mi/bono
lesingisi	la/si/ngisi
nemandla	na/e/ma/ndla
setizaftu	sa/ti/zaftu
lwetindlu	lwa/tin/dlu
takhamiti	ti/akhamiti
takhamiti	ti/akhamiti
takhamiti	ti/akhamiti
nemmango	na/u/m/mango
takhamiti	ti/akhamiti
nematfuba	na/ma/tfuba
emfundvo	a/i/n/fundvo
nematfuba	na/ma/tfuba
itimele	i/ti/i/m/el/e
yindlela	yi/i/n/dlela
nesehluko	na/si/hluko
netilwimi	na/ti/lwimi
betinsita	ba/tin/sita
yekubeka	ya/uku/bek/a
kwatiswa	ku/at/is/w/a
evikini	e/li/viki/ini
nemibono	na/i/mi/bono
nemibono	na/i/mi/bono
lemigomo	le/i/mi/gomo
nesiteshi	na/si/teshi
takhamuti	ti/akhamuti
nematfuba	na/ma/tfuba
ngetintfo	nga/tin/tfo
elikomidi	a/li/komidi
elikomidi	a/li/komidi
tekwakha	ta/uku/akh/a
tekulima	ta/uku/lim/a
kwemukele	ku/emukel/e
neluhlaka	na/lu/hlaka
wekuhlola	wa/ku/hlola
kwendlula	ku/endlul/a
lekugadza	la/ku/gadza
neluhlelo	na/lu/hlelo
kwemklamo	kwa/m/klamo
bangenta	ba/nga/ent/a
wesibopho	wa/si/bopho
nebetfuli	na/be/tfuli
bendzawo	ba/i/n/dzawo
nemmango	na/u/m/mango
ngetimali	nga/ti/mali
nemazinga	na/ma/zinga
tingetulu	ti/nga/tulu
kusekela	ku/esek/el/a
kwemhlaba	kwa/m/hlaba
ngetigaba	nga/ti/gaba
akawenti	aka/wu/ent/i
welikhaya	wa/li/khaya
takhamiti	ti/akhamiti
takhamiti	ti/akhamiti
takhamiti	ti/akhamiti
lemalambu	la/ma/lambu
elikomidi	a/li/komidi
nebahlali	na/ba/hlali
esaldanha	e/isaldanha
nemibono	na/i/mi/bono
nemibono	na/i/mi/bono
welicembu	wa/li/cembu
mayelana	li/mayela/na
lemibono	le/i/mi/bono
ngemgodzi	nga/m/godzi
sehlakalo	si/ehlakalo
kwemanti	kwa/e/ma/nti
kwetimali	kwa/ti/mali
yemigidvo	ya/mi/gidvo
ngelulaka	nga/lu/laka
netikhalo	na/ti/khalo
kwelusuku	kwa/lu/suku
ngemnyaka	nga/m/nyaka
kusekela	ku/esek/el/a
ephuzwini	e/phuzu/ini
ngetimali	nga/ti/mali
ngetimali	nga/ti/mali
ngetulu	nga/i/li/tulu
takhamuti	ti/akhamuti
yemkhakha	ye/um/khakha
wemmango	wa/u/mu/mango
lokwehluka	loku/ehluka
umsebenti	u/mu/sebenti
temmango	ta/u/ma/mango
umphumela	u/mu/phumela
bembusave	ba/mu/busave
ngekukala	nga/ku/kal/a
lwenchubo	lwe/in/chubo
tekuhamba	ta/ku/hamb/a
lwekubika	lwa/ku/bik/a
umsebenti	u/mu/sebenti
wekuhlela	wa/ku/hlel/a
umsebenti	u/mu/sebenti
umsebenti	u/mu/sebenti
umsebenti	u/mu/sebenti
yesayensi	ya/i/sayensi
ngekwenta	nge/ku/ent/a
ngenchubo	nge/in/chubo
temmango	ta/u/mu/mango
nemkhakha	na/mu/khakha
lwekwakha	lwa/ku/akh/a
emgomeni	e/mu/gomo/ini
umlingani	u/mu/lingani
bepolitiki	ba/politiki
kwema-awa	kwa/e/ma/awa
titsatfwa	ti/tsats/w/a
yemmango	ya/u/mu/mango
yekuhlela	ya/ku/hlel/a
wemmango	wa/u/mu/mango
lekuhlela	la/ku/hlel/a
lobukene	lo/buk/an/ile
ungatati	u/nga/ti/at/i
umsebenti	u/mu/sebenti
temmango	ta/u/mu/mango
kwandzisa	ku/andz/is/a
