o-1	o/1
e-1	e/1
ye-	ya/i
eza	a/za
-eli	eli
ku-6	ku/6
oo-a	oo/a
oo-b	oo/b
i-11	i/11
oo-a	oo/a
no-b	na/b
oo-a	oo/a
27(4)	27/4
zezo	za/zo
29(b)	29/b
zezo	za/zo
25(1)	25/1
i-pms	i/pms
zolu	za/olu
i-idp	i/idp
i-idp	i/idp
u-3.3	u/3.3
yezi	ya/ezi
ezi-3	ezi/3
nezo	na/ezo
iso	i/li/so
i-hiv	i/hiv
kolu	ku/olu
i-cbp	i/cbp
i-kpi	i/kpi
i-pms	i/pms
koko	ku/oko
i-pms	i/pms
i-pms	i/pms
i-pms	i/pms
i-pms	i/pms
i-pms	i/pms
i-idp	i/idp
i-pms	i/pms
koko	ku/oko
waze	u/a/ze
waze	u/a/ze
seli	sa/eli
i-lfa	i/lfa
i-pcm	i/pcm
ezi-3	ezi/3
i-idp	i/idp
koku	ku/oku
i-cbp	i/cbp
i-pms	i/pms
i-idp	i/idp
i-idp	i/idp
i-cbp	i/cbp
i-pms	i/pms
nezi	na/ezi
nezi	na/ezi
i-cbp	i/cbp
i-idp	i/idp
ezi-3	ezi/3
ezi-2	ezi/2
i-cbp	i/cbp
i-idp	i/idp
nee-	na/i/i
i-idp	i/idp
i-cbp	i/cbp
nolu	na/olu
koko	ku/oko
iso	i/li/so
i-idp	i/idp
i-idp	i/idp
i-idp	i/idp
koku	ku/oku
i-idp	i/idp
kolu	ku/olu
ne-4	na/i/4
i-cbp	i/cbp
i-idp	i/idp
nezo	na/ezo
sesi	sa/esi
yezi	ya/ezi
i-ngo	i/ngo
e-pr	a/i/pr
i-idp	i/idp
i-cbp	i/cbp
i-idp	i/idp
i-kpi	i/kpi
i-pms	i/pms
i-idp	i/idp
i-kpi	i/kpi
nezi	na/ezi
nezi	na/ezi
zezi	za/ezi
i-idp	i/idp
i-pms	i/pms
i-abc	i/abc
i-cbp	i/cbp
nezi	na/ezi
koko	ku/oko
yesi	ya/esi
nee-	na/i/i
seli	sa/eli
i-67%	i/67%
i-10%	i/10%
i-idp	i/idp
i-kpi	i/kpi
i-cbp	i/cbp
yolo	ya/olo
noku	na/oku
naba	na/aba
kolu	ku/olu
i-idp	i/idp
i-idp	i/idp
koku	ku/oku
soku	sa/oku
wazi	u/az/i
i-idp	i/idp
i-idp	i/idp
i-idp	i/idp
nezi	na/ezi
i-cbp	i/cbp
wazi	u/az/i
i-idp	i/idp
yazi	i/az/i
ezi-3	ezi/3
koko	ku/oko
yoku	ya/oku
i-pms	i/pms
nobu	na/obu
kolu	ku/olu
iso	i/li/so
nezi	na/ezi
i-gep	i/gep
