izalathiso	i/zi/alathiso
yokuphila	ya/u/ku/phil/a
nokutyala	na/u/ku/tyal/a
kwiinkalo	ku/i/z/in/kalo
kwecandelo	kwa/i/candelo
ngokubanzi	nga/oku/banzi
kazwelonke	ka/u/zwelonke
okuphanda	a/u/ku/phand/a
zophuhliso	za/u/phuhliso
kamasipala	ka/u/masipala
enoncedo	e/na/u/lu/ncedo
sophuhliso	sa/u/phuhliso
kwiinkqubo	ku/i/in/kqubo
nokugcina	na/u/ku/gcin/a
kolawulo	kwa/u/lu/lawulo
zoshishino	za/u/shishino
kwibhunga	ku/i/li/bhunga
kumasipala	ku/u/masipala
zopolitiko	za/u/politiko
yophuhliso	ya/u/phuhliso
lwenkonzo	lwa/i/n/khonzo
kwiziphumo	ku/i/zi/phumo
zophuhliso	za/u/phuhliso
kuphuhliso	ku/u/phuhliso
lommandla	lwa/u/m/mandla
kwiindleko	ku/i/in/dleko
wokuphila	wa/u/ku/phil/a
esokuqala	eso/u/ku/qal/a
owesibini	o/wa/i/si/bini
nee-datha	na/i/z/i/datha
kwingingqi	ku/i/n/gingqi
kwiindawo	ku/i/z/in/dawo
unobuzaza	u/na/u/bu/zaza
kwiphepha	ku/i/li/phepha
kuhlangano	ku/u/hlangano
kwisithili	ku/i/si/thili
ngokulima	nga/u/ku/lim/a
kwiindawo	ku/i/z/in/dawo
wokungena	wa/u/ku/ngen/a
eluntwini	e/u/lu/ntu/ini
ebantwini	e/a/ba/ntu/ini
ngokubeka	nga/u/ku/bek/a
zophuhliso	za/u/phuhliso
ngokuzoba	nga/u/ku/zob/a
ephepheni	e/i/phepha/ini
bokubhala	ba/u/ku/bhal/a
kwiphepha	ku/i/li/phepha
kwelama-92	ku/e/la/ma/92
kamasipala	ka/u/masipala
labhenela	li/a/bhen/el/a
lwedolophu	lwa/i/dolophu
kwinqanam	ku/i/li/nqanam
ngokunika	nga/u/ku/nik/a
kwiziphumo	ku/i/zi/phumo
yophuhliso	ya/u/phuhliso
yoshishino	ya/u/shishino
eluntwini	e/u/lu/ntu/ini
zikwezinye	zi/ku/ezi/nye
luzenzele	lu/zi/enz/el/e
kumasipala	ku/u/masipala
kwiinkqubo	ku/i/in/kqubo
kwiimfuno	ku/i/z/im/funo
kwibhunga	ku/i/li/bhunga
njengoceba	njenga/u/ceba
elinomdla	eli/na/u/m/dla
kwezolimo	ku/e/za/u/limo
kunikezelo	ku/u/nikezelo
yophuhliso	ya/u/phuhliso
onesidima	o/na/i/si/dima
kwiinkonzo	ku/i/in/konzo
kwiinkqubo	ku/i/in/kqubo
kwiingxaki	ku/i/in/gxaki
ukuqhutywa	u/ku/qhub/w/a
iqhutywayo	i/qhub/w/a/yo
neklinikhi	na/i/klinikhi
kwiindawo	ku/i/z/in/dawo
zenyathelo	za/i/nyathelo
ngokubeka	nga/u/ku/bek/a
kwicwecwe	ku/i/li/cwecwe
ii-logframe	i/i/logframe
ii-logframe	i/i/logframe
kwimicimbi	ku/i/mi/cimbi
kohlahlo	kwa/u/lu/hlahlo
wophuhliso	wa/u/phuhliso
izalathisi	i/zi/alathisi
yokuhlela	ya/u/ku/hlel/a
kwiinkqubo	ku/i/in/kqubo
eluntwini	e/u/lu/ntu/ini
kamasipala	ka/u/masipala
zophuhliso	za/u/phuhliso
zinenzuzo	zi/na/i/n/zuzo
yophuhliso	ya/u/phuhliso
nezifunwa	na/ezi/fun/w/a
wawusithi	u/a/wu/si/th/i
yeendleko	ya/i/zin/dleko
nesakhiwo	na/i/si/akhiwo
zokuqhuba	za/u/ku/qhub/a
nobonelelo	na/u/bonelelo
zophuhliso	za/u/phuhliso
kokuthile	kwa/oku/th/ile
yophuhliso	ya/u/phuhliso
nepolitiki	na/i/politiki
kwiminyaka	ku/i/mi/nyaka
sophuhliso	sa/u/phuhliso
kwiminyaka	ku/i/mi/nyaka
benolwazi	be/na/u/lu/azi
kuphuhliso	ku/u/phuhliso
lophando	lwa/u/lu/phando
benemidla	be/na/i/mi/dla
ngokunjalo	nga/oku/njalo
nokuzazi	na/u/ku/zi/az/i
okwamkela	a/u/ku/amkel/a
ngokwenza	nga/u/ku/enz/a
zehlabathi	za/i/hlabathi
kwibakala	ku/i/li/bakala
kwiikomiti	ku/i/i/komiti
kwiintlobo	ku/i/in/tlobo
kufikelelo	ku/u/fikelelo
kwiminyaka	ku/i/mi/nyaka
kwizantya	ku/i/z/i/antya
nomasipala	na/u/masipala
yophuhliso	ya/u/phuhliso
sophuhliso	sa/u/phuhliso
lohlahlo	lwa/u/lu/hlahlo
kohlahlo	kwa/u/lu/hlahlo
lohlahlo	lwa/u/lu/hlahlo
kuphuhliso	ku/u/phuhliso
lohlahlo	lwa/u/lu/hlahlo
kwiingxelo	ku/i/in/gxelo
zonikezelo	za/u/nikezelo
yonikezelo	ya/u/nikezelo
lohlahlo	lwa/u/lu/hlahlo
kwiikomiti	ku/i/i/komiti
kunikezelo	ku/u/nikezelo
kamasipala	ka/u/masipala
kwibhunga	ku/i/li/bhunga
yezamanzi	ya/e/za/ma/nzi
kwinjineli	ku/i/n/jineli
lwathotywa	lu/a/thob/w/a
kwiminyaka	ku/i/mi/nyaka
kumasipala	ku/u/masipala
nokukhula	na/u/ku/khul/a
kuphuhliso	ku/u/phuhliso
seengxaki	sa/i/zin/gxaki
kwisiphumo	ku/i/si/phumo
wophuhliso	wa/u/phuhliso
wophuhliso	wa/u/phuhliso
kwizigqibo	ku/i/zi/gqibo
lokuphila	la/u/ku/phil/a
kwiinkonzo	ku/i/in/konzo
awaneleyo	a/wa/anel/e/yo
kwingingqi	ku/i/n/gingqi
kwingingqi	ku/i/n/gingqi
nesahluko	na/i/si/ahluko
kuphuhliso	ku/u/phuhliso
kwingingqi	ku/i/n/gingqi
kwiikomiti	ku/i/i/komiti
yehlabathi	ya/i/hlabathi
nokukhula	na/u/ku/khul/a
zophuhliso	za/u/phuhliso
kubunakho	ku/u/bu/na/kho
utyalo-mali	u/tyalo/mali
lwecandelo	lwa/i/candelo
ezentlalo	e/za/i/n/tlalo
yonikezelo	ya/u/nikezelo
kuphuhliso	ku/u/phuhliso
kwiindawo	ku/i/z/in/dawo
nesahlulo	na/i/si/ahlulo
kolawulo	kwa/u/lu/lawulo
lwedolophu	lwa/i/dolophu
ngokufaka	nga/u/ku/fak/a
olwaneleyo	olu/anel/e/yo
wehlabathi	wa/i/hlabathi
yehlabathi	ya/i/hlabathi
kuphuhliso	ku/u/phuhliso
yehlabathi	ya/i/hlabathi
nozwelonke	na/u/zwelonke
yokuqesha	ya/u/ku/qesh/a
kuphuhliso	ku/u/phuhliso
komthetho	kwa/u/m/thetho
kwiinzuzo	ku/i/z/in/zuzo
zophuhliso	za/u/phuhliso
nokujonga	na/u/ku/jong/a
nokujonga	na/u/ku/jong/a
enyakeni	e/u/m/nyaka/ini
izalathisi	i/zi/alathisi
nomasipala	na/u/masipala
kumasipala	ku/u/masipala
kwibhunga	ku/i/li/bhunga
kwinqanam	ku/i/li/nqanam
zophuhliso	za/u/phuhliso
sophuhliso	sa/u/phuhliso
nonikezelo	na/u/nikezelo
nonikezelo	na/u/nikezelo
kwiinkonzo	ku/i/in/konzo
lommandla	lwa/u/m/mandla
kwiminyaka	ku/i/mi/nyaka
enamandla	e/na/a/ma/ndla
kwizimbiwa	ku/i/zi/mbiwa
kwezolimo	ku/e/za/u/limo
utyalo-mali	u/tyalo/mali
awuthanga	a/wu/th/i/anga
enkulukazi	en/khulu/kazi
sokukhula	sa/u/ku/khul/a
sinombono	si/na/u/m/bono
nophuhliso	na/u/phuhliso
lwedolophu	lwa/i/dolophu
kwizithuba	ku/i/zi/thuba
ii-arhente	i/z/i/arhente
noshishino	na/u/shishino
neshishini	na/i/shishini
kwingingqi	ku/i/n/gingqi
olwaneleyo	olu/anel/e/yo
kolwabiwo	kwa/u/lu/abiwo
kamasipala	ka/u/masipala
yokuphila	ya/u/ku/phil/a
kwiinkqubo	ku/i/in/kqubo
impumelelo	i/m/phumelelo
wophuhliso	wa/u/phuhliso
kamasipala	ka/u/masipala
kwiphepha	ku/i/li/phepha
ngokubanzi	nga/oku/banzi
kwiinkonzo	ku/i/in/konzo
nangobume	na/nga/u/bu/me
liphuhlise	li/phuhl/is/a
yonikezelo	ya/u/nikezelo
yophuhliso	ya/u/phuhliso
nonikezelo	na/u/nikezelo
kuphuhliso	ku/u/phuhliso
nonikezelo	na/u/nikezelo
sonikezelo	sa/u/nikezelo
zophuhliso	za/u/phuhliso
ukuqhutywa	u/ku/qhub/w/a
nophuhliso	na/u/phuhliso
kwizidingo	ku/i/zi/dingo
nokuqonda	na/u/ku/qond/a
wophuhliso	wa/u/phuhliso
kwiphepha	ku/i/li/phepha
yokuhlola	ya/u/ku/hlol/a
kolawulo	kwa/u/lu/lawulo
kwelama-64	ku/e/la/ma/64
kuyenzeka	ku/ya/enz/ek/a
kamasipala	ka/u/masipala
yokuqonda	ya/u/ku/qond/a
lusenziwa	lu/se/enz/iw/a
nokukhula	na/u/ku/khul/a
kamasipala	ka/u/masipala
nonikezelo	na/u/nikezelo
ziikomiti	z/i/z/i/komiti
nophuhliso	na/u/phuhliso
kwiphepha	ku/i/li/phepha
zezakhiwo	za/i/zi/akhiwo
linqanaba	l/i/li/nqanaba
nokuqonda	na/u/ku/qond/a
lophuhliso	la/u/phuhliso
kwiphepha	ku/i/li/phepha
unenjongo	u/na/i/n/jongo
nokuxhasa	na/u/ku/xhas/a
yonikezelo	ya/u/nikezelo
kuphuhliso	ku/u/phuhliso
sophuhliso	sa/u/phuhliso
zophuhliso	za/u/phuhliso
yonikezelo	ya/u/nikezelo
ziikomiti	z/i/z/i/komiti
yophuhliso	ya/u/phuhliso
kwinkundla	ku/i/n/kundla
inexesha	i/na/i/li/xesha
ineeseti	i/na/i/z/i/seti
yonikezelo	ya/u/nikezelo
lwezaziso	lwa/i/zi/aziso
kamasipala	ka/u/masipala
neendlebe	na/i/i/n/dlebe
nophuhliso	na/u/phuhliso
kwizigqibo	ku/i/zi/gqibo
nonikezelo	na/u/nikezelo
nophuhliso	na/u/phuhliso
lorhwebo	lwa/u/lu/rhwebo
kwesabelo	kwa/i/si/abelo
soshishino	sa/u/shishino
owesibini	o/wa/i/si/bini
bophuhliso	ba/u/phuhliso
kumasipala	ku/u/masipala
kuphuhliso	ku/u/phuhliso
nakwezinye	na/ku/ezi/nye
kubunakho	ku/u/bu/na/kho
kwizimbiwa	ku/i/zi/mbiwa
zolonwabo	za/u/lu/onwabo
kwagqitywa	ku/a/gqib/w/a
kamasipala	ka/u/masipala
nokuphuma	na/u/ku/phum/a
kamasipala	ka/u/masipala
kamasipala	ka/u/masipala
emeleneyo	e/m/el/an/e/yo
owayamene	o/wa/ayam/an/e
kwezolimo	ku/e/za/u/limo
licandelo	l/i/li/candelo
ezezimali	e/za/i/zi/mali
nokugcina	na/u/ku/gcin/a
lohlahlo	lwa/u/lu/hlahlo
zokuxhasa	za/u/ku/xhas/a
sophuhliso	sa/u/phuhliso
kwiinkonzo	ku/i/in/konzo
kazwelonke	ka/u/zwelonke
ziinjongo	z/i/z/in/jongo
yematshisi	ya/i/matshisi
zokulinga	za/u/ku/ling/a
yasekhaya	ya/s/e/i/khaya
kwiinkalo	ku/i/z/in/kalo
enamaqela	e/na/a/ma/qela
yokuphila	ya/u/ku/phil/a
zokuphila	za/u/ku/phil/a
kwingqesho	ku/i/n/gqesho
kufunyanwa	ku/fum/an/w/a
nomasipala	na/u/masipala
kangangoko	ka/nganga/oko
wokukhula	wa/u/ku/khul/a
izalathisi	i/zi/alathisi
izalathisi	i/zi/alathisi
izalathisi	i/zi/alathisi
inexesha	i/na/i/li/xesha
kazwelonke	ka/u/zwelonke
ukuthotywa	u/ku/thob/w/a
nababucala	na/aba/bucala
kuzwelonke	ku/u/zwelonke
kamasipala	ka/u/masipala
kwiinkqubo	ku/i/in/kqubo
ziingcali	z/i/z/in/gcali
kwibhunga	ku/i/li/bhunga
kwiikomiti	ku/i/i/komiti
sophuhliso	sa/u/phuhliso
wophuhliso	wa/u/phuhliso
kwingingqi	ku/i/n/gingqi
ngokubanzi	nga/oku/banzi
ekulweni	e/u/ku/lw/a/ini
nokuthoba	na/u/ku/thob/a
bophuhliso	ba/u/phuhliso
utyalo-mali	u/tyalo/mali
kungaziwa	ku/nga/azi/w/a
njengemeko	njenga/i/meko
kwiinkonzo	ku/i/in/konzo
behlabathi	ba/i/hlabathi
ngokuxoxa	nga/u/ku/xox/a
kamasipala	ka/u/masipala
ezentlalo	e/za/i/n/tlalo
kwingingqi	ku/i/n/gingqi
kamasipala	ka/u/masipala
nakwibhodi	na/ku/i/bhodi
kwizihlanu	ku/i/zi/hlanu
kwiimbono	ku/i/z/in/bono
sophuhliso	sa/u/phuhliso
kuhlalutyo	ku/u/hlalutyo
ezentlalo	e/za/i/n/tlalo
nokujonga	na/u/ku/jong/a
yasekhaya	ya/s/e/i/khaya
ngovelwano	nga/u/velwano
ngokwenza	nga/u/ku/enz/a
utyalo-mali	u/tyalo/mali
kamasipala	ka/u/masipala
uneekopi	u/na/i/z/i/kopi
kwiminyaka	ku/i/mi/nyaka
kumasipala	ku/u/masipala
eyandulela	e/i/andulel/a
