yoxanduva	ya/u/lu/xanduva
zogutyulo	za/u/lu/gutyulo
opolitiko	a/u/lu/politiko
kwesithuba	kwa/i/si/thuba
lweenkonzo	lwa/i/in/konzo
iimpendulo	i/z/im/pendulo
kumsebenzi	ku/u/m/sebenzi
novavanyo	na/u/lu/vavanyo
lesithathu	la/i/si/thathu
ngeenjongo	nga/i/in/jongo
kokubekwa	ka/u/ku/bek/w/a
kwamaxesha	kwa/a/ma/xesha
kwishedyuli	ku/i/shedyuli
neendleko	na/i/z/in/dleko
ngeenjongo	nga/i/in/jongo
okumisela	oku/i/m/is/el/a
namaqalela	na/a/ma/qalela
neenkonzo	na/i/z/in/konzo
yeentlobo	ya/i/z/in/tlobo
ngeentlobo	nga/i/in/tlobo
neenkonzo	na/i/z/in/konzo
ngobunjalo	nga/u/bu/njalo
lweenkonzo	lwa/i/in/konzo
noxanduva	na/u/lu/xanduva
anoxanduva	a/na/u/xanduva
nemimiselo	na/i/mi/miselo
nokhuselo	na/u/lu/khuselo
neenkonzo	na/i/z/in/konzo
iinkxalabo	i/z/in/kxalabo
bazahlula	ba/zi/ahlul/a/a
kumsebenzi	ku/u/m/sebenzi
kumsebenzi	ku/u/m/sebenzi
zeengxaki	za/i/z/in/gxaki
weekomiti	wa/i/z/i/komiti
luhanjiswe	lu/hamb/is/w/e
lweengxaki	lwa/i/in/gxaki
nomsebenzi	na/u/m/sebenzi
nenkuthazo	na/i/n/kuthazo
lokwazisa	la/u/ku/az/is/a
iinkcubeko	i/z/in/kcubeko
eentlanga	a/i/z/in/tlanga
neengeniso	na/i/i/ngeniso
nemithombo	na/i/mi/thombo
ngamathuba	nga/a/ma/thuba
neenkqubo	na/i/z/in/kqubo
zeenkqubo	za/i/z/in/kqubo
ngeendleko	nga/i/in/dleko
neenjongo	na/i/z/in/jongo
kwesigqibo	kwa/i/si/gqibo
ngamanqaku	nga/a/ma/nqaku
yamapolisa	ya/a/ma/polisa
namapolisa	na/a/ma/polisa
kwabahlali	kwa/a/ba/hlali
zomsebenzi	za/u/m/sebenzi
kwabahlali	kwa/a/ba/hlali
ngezakhono	nga/i/zi/khono
kweenjongo	kwa/i/in/jongo
lweenkonzo	lwa/i/in/konzo
neekomiti	na/i/z/i/komiti
beenkonzo	ba/i/z/in/konzo
yeempahla	ya/i/z/im/pahla
kwexabiso	kwa/i/li/xabiso
kwizakhiwo	ku/i/zi/akhiwo
nakulawulo	na/ku/u/lawulo
kweenkonzo	kwa/i/in/konzo
iititshala	i/z/i/titshala
semandleni	s/e/mandla/ini
lokunceda	lwa/u/ku/nced/a
kumsebenzi	ku/u/m/sebenzi
kweziphumo	kwa/i/zi/phumo
neenjongo	na/i/z/in/jongo
zabaqeshwa	za/a/ba/qeshwa
kwemveliso	kwa/i/m/veliso
kuqoqosho	ku/u/lu/qoqosho
lwabahambi	lwa/a/ba/hambi
ngeenjongo	nga/i/in/jongo
yeentsapho	ya/i/in/tsapho
kunegalelo	ku/na/i/galelo
kuqoqosho	ku/u/lu/qoqosho
kwii-ofisi	ku/i/z/i/ofisi
iiklinikhi	i/z/i/klinikhi
okwesibini	okwa/i/si/bini
lweminyaka	lwa/i/mi/nyaka
neenkonzo	na/i/z/in/konzo
nomsebenzi	na/u/m/sebenzi
iingcebiso	i/z/in/gcebiso
owabiwayo	o/wu/ab/iw/a/yo
neenkqubo	na/i/z/in/kqubo
neendlela	na/i/z/in/dlela
ngamalungu	nga/a/ma/lungu
neengingqi	na/i/in/gingqi
kukwenziwa	ku/ku/enz/iw/a
kweemfuno	kwa/i/z/im/funo
lwenkcitho	lwa/i/n/kcitho
beenkonzo	ba/i/z/in/konzo
lweenkonzo	lwa/i/in/konzo
ngeenjongo	nga/i/in/jongo
weekomiti	wa/i/z/i/komiti
neenkqubo	na/i/z/in/kqubo
lweziphumo	lwa/i/zi/phumo
bokungeva	ba/u/ku/nge/v/a
noxhathise	na/o/xhathis/e
zomsebenzi	za/u/m/sebenzi
kuqeqesho	ku/u/lu/qeqesho
weengingqi	wa/i/in/gingqi
weengingqi	wa/i/in/gingqi
weengingqi	wa/i/in/gingqi
ngemfuneko	nga/i/m/funeko
weengingqi	wa/i/in/gingqi
weengingqi	wa/i/in/gingqi
ophuhliso	a/u/lu/phuhliso
nakwiimeko	na/ku/i/i/meko
ngokukodwa	nga/oku/ko/dwa
ezinegalelo	ezi/na/galelo
mayibanjwe	ma/yi/bamb/w/e
ngeempawu	nga/i/z/im/pawu
njengoluvo	njenga/u/lu/vo
kwafakelwa	ku/a/fakel/w/a
yobupolisa	ya/u/bu/polisa
nemithombo	na/i/mi/thombo
namacebiso	na/a/ma/cebiso
iinkampani	i/z/in/kampani
lweenkonzo	lwa/i/in/konzo
necandelo	na/i/li/candelo
iithagethi	i/z/i/thagethi
zomsebenzi	za/u/m/sebenzi
lweenkonzo	lwa/i/in/konzo
nabathengi	na/a/ba/thengi
noxanduva	na/u/lu/xanduva
lweemfuno	lwa/i/z/im/funo
ahlukeneyo	a/ahlukan/e/yo
iingcebiso	i/z/in/gcebiso
neenkqubo	na/i/z/in/kqubo
noxanduva	na/u/lu/xanduva
kwabafundi	kwa/a/ba/fundi
zeengxoxo	za/i/z/in/gxoxo
noqoqosho	na/u/lu/qoqosho
