lwemibutho	lwa/i/mi/butho
onoxanduva	o/na/u/xanduva
kumaqumrhu	ku/a/ma/qumrhu
onoxanduva	o/na/u/xanduva
lonikezelo	lwa/u/nikezelo
lweenkonzo	lwa/i/in/konzo
neenkqubo	na/i/z/in/kqubo
kwishedyuli	ku/i/shedyuli
yomsebenzi	ya/u/m/sebenzi
ne-logframe	na/i/logframe
oshishino	a/u/lu/shishino
zingahluka	zi/nga/ahluk/a
kusenokuba	ku/se/na/ukuba
ahlukeneyo	a/ahlukan/e/yo
yeetekisi	ya/i/z/i/tekisi
zeendlela	za/i/z/in/dlela
kweenkonzo	kwa/i/in/konzo
njengesiza	njenga/i/si/za
neengqele	na/i/z/in/gqele
kweenkonzo	kwa/i/in/konzo
kwamaqondo	kwa/a/ma/qondo
kwamaqondo	kwa/a/ma/qondo
noxanduva	na/u/lu/xanduva
iinkokheli	i/z/in/kokheli
ngezifundo	nga/i/zi/fundo
banothotho	ba/na/u/thotho
lwezakhono	lwa/i/zi/khono
ngohlahlo	nga/u/lu/hlahlo
lwesininzi	lwa/i/si/ninzi
ukwamkelwa	u/ku/amkel/w/a
neekomiti	na/i/z/i/komiti
nekwamele	na/e/kwa/mele/e
neenkqubo	na/i/z/in/kqubo
weengingqi	wa/i/in/gingqi
nabaphathi	na/a/ba/phathi
weengingqi	wa/i/in/gingqi
weengingqi	wa/i/in/gingqi
weengingqi	wa/i/in/gingqi
kweenjongo	kwa/i/in/jongo
nezexesha	na/e/za/i/xesha
lweenkonzo	lwa/i/in/konzo
beenkonzo	ba/i/z/in/konzo
yeenkonzo	ya/i/z/in/konzo
beenkonzo	ba/i/z/in/konzo
lokongeza	la/u/ku/ongez/a
lokongeza	la/u/ku/ongez/a
beenkonzo	ba/i/z/in/konzo
kwabahlali	kwa/a/ba/hlali
zeengxelo	za/i/z/in/gxelo
lweengxelo	lwa/i/in/gxelo
ziluncedo	zi/l/u/lu/ncedo
ngokukodwa	nga/oku/ko/dwa
kweenkonzo	kwa/i/in/konzo
kweenkonzo	kwa/i/in/konzo
kwabahlali	kwa/a/ba/hlali
kwezigqibo	kwa/i/zi/gqibo
kwezigqeba	kwa/i/zi/gqeba
anokuseka	a/na/u/ku/sek/a
ahlukeneyo	a/ahlukan/e/yo
lweekomiti	lwa/i/i/komiti
yabacebisi	ya/a/ba/cebisi
kuluncedo	ku/l/u/lu/ncedo
ukonzakala	u/ku/onzakal/a
neenkqubo	na/i/z/in/kqubo
zomsebenzi	za/u/m/sebenzi
kumsebenzi	ku/u/m/sebenzi
