lunelungelo	lu/na/i/lungelo
iiprojekthi	i/z/i/projekthi
weengingqi	wa/i/z/in/gingqi
nophuhliso	na/u/lu/phuhliso
kwiprojekthi	ku/i/projekthi
lophuhliso	la/u/lu/phuhliso
nokwenziwa	na/u/ku/enz/iw/a
kweendlela	kwa/i/z/in/dlela
nobugebenga	na/u/bu/gebenga
yenguqulelo	ya/i/n/guqulelo
yonikezelo	ya/u/lu/nikezelo
lweenkonzo	lwa/i/z/in/konzo
lokunikeza	lwa/u/ku/nikez/a
kuphuhliso	ku/u/lu/phuhliso
sophuhliso	sa/u/lu/phuhliso
zophuhliso	za/u/lu/phuhliso
nobulungisa	na/u/bu/lungisa
yonikezelo	ya/u/lu/nikezelo
lweenkonzo	lwa/i/z/in/konzo
lweenkonzo	lwa/i/z/in/konzo
yophuhliso	ya/u/lu/phuhliso
ngokwesini	nga/okwa/i/si/ni
kokufumana	kwa/u/ku/fuman/a
kweenkonzo	kwa/i/z/in/konzo
iiprojekthi	i/z/i/projekthi
nemibandela	na/i/mi/bandela
yonikezelo	ya/u/lu/nikezelo
nophuhliso	na/u/lu/phuhliso
nonikezelo	na/u/lu/nikezelo
lweenkonzo	lwa/i/z/in/konzo
nophuhliso	na/u/lu/phuhliso
soshishino	sa/u/lu/shishino
okwenziwayo	oku/enz/iw/a/yo
yabahlawuli	ya/a/ba/hlawuli
ngeziganeko	nga/i/zi/ganeko
iiprojekthi	i/z/i/projekthi
kuphuhliso	ku/u/lu/phuhliso
iilephtophu	i/z/i/lephtophu
ngeenkonzo	nga/i/z/in/konzo
ezimeleneyo	ezi/mel/an/e/yo
nevumileyo	na/e/vum/il/e/yo
nemisebenzi	na/i/mi/sebenzi
bomgangatho	ba/u/m/gangatho
kubasebenzi	ku/a/ba/sebenzi
kunamathuba	kuna/a/ma/thuba
lokwenzeka	la/u/ku/enz/ek/a
iinkcukacha	i/z/in/kcukacha
eyenziwayo	e/yi/enz/iw/a/yo
sophuhliso	sa/u/lu/phuhliso
alunambane	a/lu/na/u/m/bane
kuphunyeziwe	ku/phumez/iw/e
lweenkonzo	lwa/i/z/in/konzo
yasekhaya	ya/s/e/i/li/khaya
nobulungisa	na/u/bu/lungisa
nabasebenzi	na/a/ba/sebenzi
ngangeeyure	nganga/i/i/yure
neengeniso	na/i/z/i/ngeniso
