ngokwamabakala	nga/okwa/a/ma/bakala
ezamkelekileyo	ezi/amkel/ek/il/e/yo
olunempumelelo	olu/na/i/m/phumelelo
nakwizibonelelo	na/ku/i/zi/bonelelo
ngokokulawulwa	nga/oko/ku/lawul/w/a
ematyotyombeni	e/a/ma/tyotyombe/ini
nokungalingani	na/u/ku/nga/lingan/i
banokuthabatha	ba/na/u/ku/thabath/a
nokunyanzelisa	na/u/ku/nyanzel/is/a
ngothungelwano	nga/u/lu/thungelwano
ngeekhompyutha	nga/i/z/i/khompyutha
benokuphendula	be/na/u/ku/phendul/a
ngokufikelelwa	nga/u/ku/fikelel/w/a
nangempumelelo	na/nga/i/m/phumelelo
sesokuncedisa	s/e/sa/u/ku/nced/is/a
nokungalingani	na/u/ku/nga/lingan/i
elisembindini	eli/s/e/u/m/bindi/ini
lusetyenziselwa	lu/sebenz/is/el/w/a
yonxibelelwano	ya/u/lu/nxibelelwano
kubundlobongela	ku/u/bu/ndlobongela
zikawonke-wonke	zi/ka/wo/nke/wo/nke
ngokusebenzisa	nga/u/ku/sebenz/is/a
lokuthembakala	la/u/ku/themb/akal/a
zeengxowa-mali	za/i/z/in/gxowa/mali
zikawonke-wonke	zi/ka/wo/nke/wo/nke
nokungalingani	na/u/ku/nga/lingan/i
yonxibelelwano	ya/u/lu/nxibelelwano
zikawonke-wonke	zi/ka/wo/nke/wo/nke
kwimizi-mveliso	ku/i/mi/zi/m/veliso
ngumceli-mngeni	ng/u/m/celi/m/ngeni
ngokusebenzisa	nga/u/ku/sebenz/is/a
nokuqinisekisa	na/u/ku/qinisek/is/a
yeentlanganiso	ya/i/z/in/tlanganiso
obudityanelweyo	obu/diban/el/w/e/yo
lomgaqo-nkqubo	lwa/u/m/gaqo/n/kqubo
kusetyenziselwa	ku/sebenz/is/el/w/a
yokungalingani	ya/u/ku/nga/lingan/i
yamalungiselelo	ya/a/ma/lungiselelo
ngokuphilileyo	nga/oku/phil/il/e/yo
ngokwesithethe	nga/okwa/i/si/thethe
ngokwanelisayo	nga/oku/anel/is/a/yo
ukunganeliseki	u/ku/nga/anelis/ek/i
anganoxanduva	a/nga/na/u/lu/xanduva
ekufumanekeni	e/u/ku/fuman/ek/a/ini
nokudityaniswa	na/u/ku/diban/is/w/a
ingasetyenziswa	i/nga/sebenz/is/w/a
yokungasebenzi	ya/u/ku/nga/sebenz/i
sonxibelelwano	sa/u/lu/nxibelelwano
kulumano-ndlebe	ku/u/lumano/n/dlebe
neyozalisekiso	na/e/ya/u/zalisekiso
bekwanengqumbo	be/kwa/na/i/n/gqumbo
ngumceli-mngeni	ng/u/m/celi/m/ngeni
ngokuphathelele	nga/oku/phathelel/e
nokufikeleleka	na/u/ku/fikelel/ek/a
seengxowa-mali	sa/i/z/in/gxowa/mali
sonxibelelwano	sa/u/lu/nxibelelwano
ngokuvakalisa	nga/u/ku/va/akal/is/a
ngeenqwelomoya	nga/i/z/in/qwelomoya
ngokungananzwa	nga/oku/nga/nanz/w/a
kukuqinisekisa	ku/u/ku/qinisek/is/a
owayanyaniswa	o/wa/ya/nyanis/is/w/a
kwezoshishino	ku/e/za/u/lu/shishino
njengophuhliso	njenga/u/lu/phuhliso
ngokwanelisayo	nga/oku/anel/is/a/yo
wolandelelwano	wa/u/lu/landelelwano
isiphatha-mandla	i/si/phatha/mandla
ogcino-cwangco	a/u/lu/gcino/cwangco
lobundlobongela	la/u/bu/ndlobongela
nezixokelelwano	na/i/zi/xokelelwano
ngokuncomekayo	nga/oku/ncom/ek/a/yo
ineempembelelo	i/na/i/im/phembelelo
kweeyantlukwano	kwa/i/i/yantlukwano
ngokwejiyografi	ng/okwa/i/jiyografi
zokuqinisekisa	za/u/ku/qinisek/is/a
lomgaqo-siseko	lwa/u/m/gaqo/si/seko
olunjengephepha	olu/njenga/i/phepha
zikawonke-wonke	zi/ka/wo/nke/wo/nke
awonganyelweyo	a/wa/onganyel/w/e/yo
zokungalingani	za/u/ku/nga/lingan/i
lomgaqo-nkqubo	lwa/u/m/gaqo/n/kqubo
sesixokelelwano	sa/i/si/xokelelwano
odliwano-ndlebe	a/u/dliwano/n/dlebe
sisetyenziselwa	si/sebenz/is/el/w/a
odliwano-ndlebe	a/u/dliwano/n/dlebe
kokubuyiselwa	kwa/u/ku/buyis/el/w/a
odliwano-ndlebe	a/u/dliwano/n/dlebe
odliwano-ndlebe	a/u/dliwano/n/dlebe
njengesikhokelo	njenga/i/si/khokelo
nangempumelelo	na/nga/i/m/phumelelo
odliwano-ndlebe	a/u/dliwano/n/dlebe
nokubhekiselwa	na/u/ku/bhekisel/w/a
kulumano-ndlebe	ku/u/lumano/n/dlebe
kulumano-ndlebe	ku/u/lumano/n/dlebe
nokuqinisekisa	na/u/ku/qinisek/is/a
njengomgangatho	njenga/u/m/gangatho
nokuqinisekisa	na/u/ku/qinisek/is/a
kweekhontrakthi	kwa/i/i/khontrakthi
esahlukaniseka	e/sa/ahlukan/is/ek/a
elingangonyaka	eli/nganga/u/m/nyaka
ematyotyombeni	e/a/ma/tyotyombe/ini
nentsholongwane	na/i/n/tsholongwane
lunempembelelo	lu/na/i/m/phembelelo
odliwano-ndlebe	a/u/dliwano/n/dlebe
yeentlanganiso	ya/i/z/in/tlanganiso
ngokusesikweni	nga/oku/s/e/siko/ini
yeentlanganiso	ya/i/z/in/tlanganiso
zikawonke-wonke	zi/ka/wo/nke/wo/nke
nonxibelelwano	na/u/lu/nxibelelwano
ekunokwenzeka	e/ku/na/u/ku/enz/ek/a
lolungelelaniso	la/lu/lungelelaniso
yokuqinisekisa	ya/u/ku/qinisek/is/a
njengesikhokelo	njenga/i/si/khokelo
sonxibelelwano	sa/u/lu/nxibelelwano
zonxibelelwano	za/u/lu/nxibelelwano
njengenxulumene	njenga/i/nxuluman/e
zokuqinisekisa	za/u/ku/qinisek/is/a
nokungalingani	na/u/ku/nga/lingan/i
ekunciphiseni	e/u/ku/nciph/is/a/ini
nokungalingani	na/u/ku/nga/lingan/i
ekunciphiseni	e/u/ku/nciph/is/a/ini
nokungalingani	na/u/ku/nga/lingan/i
ezinokusebenza	ezi/na/u/ku/sebenz/a
kwezopolitiko	ku/e/za/u/lu/politiko
nokucwangciswa	na/u/ku/cwangcis/w/a
ngokokushiyana	nga/oko/ku/shiy/an/a
esidityanelweyo	esi/diban/el/w/e/yo
nokungalingani	na/u/ku/nga/lingan/i
esezidolophini	e/s/e/zi/dolophu/ini
nokuqinisekisa	na/u/ku/qinisek/is/a
ngokusebenzisa	nga/u/ku/sebenz/is/a
kumalungiselelo	ku/a/ma/lungiselelo
njengomthundezi	njenga/u/m/thundezi
njengezincedisi	njenga/i/zi/ncedisi
abeyimpumelelo	a/be/y/i/m/phumelelo
esidityanelweyo	esi/diban/el/w/e/yo
ngokuchaseneyo	nga/oku/chas/en/e/yo
ngokwanelisayo	nga/oku/anel/is/a/yo
nakwiiprojekthi	na/ku/i/i/projekthi
ngokusebenzisa	nga/u/ku/sebenz/is/a
njengomalathisi	njenga/u/m/alathisi
yokuqinisekisa	ya/u/ku/qinisek/is/a
senkqubo-qhinga	sa/i/n/kqubo/qhinga
ngokuncomekayo	nga/oku/ncom/ek/a/yo
odliwano-ndlebe	a/u/dliwano/n/dlebe
ekuphuculweni	e/u/ku/phucul/w/a/ini
ngokusesikweni	nga/oku/s/e/siko/ini
nokuqal'ugwebe	na/u/ku/qal/u/gweb/e
neyahlukileyo	na/e/ya/ahluk/il/e/yo
ngokusebenzisa	nga/u/ku/sebenz/is/a
kwimizi-mveliso	ku/i/mi/zi/m/veliso
lukawonke-wonke	lu/ka/wo/nke/wo/nke
nokuqinisekisa	na/u/ku/qinisek/is/a
zikawonke-wonke	zi/ka/wo/nke/wo/nke
kukawonke-wonke	ku/ka/wo/nke/wo/nke
kukawonke-wonke	ku/ka/wo/nke/wo/nke
bonxibelelwano	ba/u/lu/nxibelelwano
kukawonke-wonke	ku/ka/wo/nke/wo/nke
ngokuncomekayo	nga/oku/ncom/ek/a/yo
ngokwamacandelo	nga/okwa/ma/candelo
lasigqithisela	li/a/si/gqithis/el/a
semgangathweni	s/e/u/m/gangatho/ini
singagqitywanga	si/nga/gqib/w/a/nga
wamalungiselelo	wa/a/ma/lungiselelo
nowokukhangela	no/wa/u/ku/khangel/a
ngokuvakalisa	nga/u/ku/va/akal/is/a
zokuqinisekisa	za/u/ku/qinisek/is/a
nokufumanekayo	na/oku/fuman/ek/a/yo
ezahlula-hlulwa	ezi/ahlul/a/hlul/w/a
imithetho-siseko	i/mi/thetho/si/seko
asenokwabelana	a/se/no/ku/ab/el/an/a
nasekuhleleni	na/s/e/u/ku/hlel/a/ini
nasekuhlaleni	na/s/e/u/ku/hlal/a/ini
wasekuhlaleni	wa/s/e/u/ku/hlal/a/ini
lowiso-mthetho	la/u/lu/wiso/m/thetho
olungenamandla	olu/nge/na/a/ma/andla
kwiiyunivesithi	ku/i/z/i/yunivesithi
zasenkundleni	za/s/e/i/n/khundla/ini
ngokwedemokrasi	nga/okwa/i/demokrasi
anokubhexeshwa	a/na/u/ku/bhexesh/w/a
yasekuhlaleni	ya/s/e/u/ku/hlal/a/ini
nangokofikelelo	na/nga/u/ku/fikelelo
neyababelekisi	na/e/ya/a/ba/belekisi
kwiintlanganiso	ku/i/z/in/tlanganiso
entlanganisweni	e/i/n/tlanganiso/ini
nangemigangatho	na/nga/i/mi/gangatho
lokuqwalaselwa	lwa/u/ku/qwalasel/w/a
lasekuhlaleni	la/s/e/u/ku/hlal/a/ini
ahluka-hlukenyo	a/ahluk/a/hluk/en/yo
lasekuhlaleni	la/s/e/u/ku/hlal/a/ini
kwisixokelelwano	ku/i/si/xokelelwano
zasekuhlaleni	za/s/e/u/ku/hlal/a/ini
ingabula-zigcawu	i/n/gabula/zi/gcawu
nelinokongeza	na/eli/na/u/ku/ongez/a
ngokuphathelele	nga/u/ku/phathelel/e
komhlalaphantsi	kwa/u/m/hlalaphantsi
iinguqu-nguquko	i/z/in/guqu/n/guquko
ekusombululeni	e/u/ku/sombulul/a/ini
zinentsingiselo	zi/na/i/n/tsingiselo
ngokuthobelana	nga/u/ku/thob/el/an/a
zasekuhlaleni	za/s/e/u/ku/hlal/a/ini
basekuhlaleni	ba/s/e/u/ku/hlal/a/ini
zoqhagamshelwano	za/u/qhagamshelwano
lokuvakaliswa	la/u/ku/va/akal/is/w/a
