ilungelo	i/li/lungelo
lenkqubo	la/i/n/kqubo
yemfundo	ya/i/m/fundo
ezaphuma	ezi/a/phum/a
iikomiti	i/z/i/komiti
lenkqubo	la/i/n/kqubo
nendlela	na/i/n/dlela
nasemva	na/s/e/u/m/va
iikomiti	i/z/i/komiti
iingxaki	i/z/in/gxaki
iikomiti	i/z/i/komiti
iikomiti	i/z/i/komiti
wenkqubo	wa/i/n/kqubo
unethuba	u/na/i/thuba
iingxaki	i/z/in/gxaki
ngolwazi	nga/u/lu/azi
ngabantu	nga/a/ba/ntu
nezinika	na/ezi/nik/a
benkxaso	ba/i/n/kxaso
kumagosa	ku/a/ma/gosa
iinkqubo	i/z/in/kqubo
nekhaya	na/i/li/khaya
wemigodi	wa/i/mi/godi
ekhulwini	e/khulu/ini
yexesha	ya/i/li/xesha
nentando	na/i/n/tando
iindleko	i/z/in/dleko
namagosa	na/a/ma/gosa
nemizamo	na/i/mi/zamo
iikomiti	i/z/i/komiti
zeewadi	za/i/z/i/wadi
iyakwazi	i/ya/ku/az/i
iindlela	i/z/in/dlela
neemfuno	na/i/in/funo
ngokwawo	nga/o/kwa/wo
nendlela	na/i/n/dlela
ngendima	nga/i/n/dima
iikomiti	i/z/i/komiti
yohlelo	ya/u/lu/hlelo
kumasebe	ku/a/ma/sebe
eekomiti	a/i/i/komiti
zeewadi	za/i/z/i/wadi
namagama	na/a/ma/gama
omjikelo	a/u/m/jikelo
iikomiti	i/z/i/komiti
lwendawo	lwa/i/n/dawo
kuqhutywe	ku/qhub/w/e
wemizobo	wa/i/mi/zobo
iikomiti	i/z/i/komiti
icandelo	i/li/candelo
nenkqubo	na/i/n/kqubo
yohlelo	ya/u/lu/hlelo
iinkqubo	i/z/in/kqubo
iingxaki	i/z/in/gxaki
iingcali	i/z/in/gcali
namaqela	na/a/ma/qela
kwibhunga	ku/i/bhunga
neemfuno	na/i/in/funo
zalathisi	zi/alathisi
kwamanzi	kwa/a/ma/nzi
abakwazi	a/ba/ku/az/i
eendaba	a/i/z/in/daba
sexesha	sa/i/li/xesha
lemfundo	la/i/n/fundo
kwendawo	kwa/i/n/dawo
iinjongo	i/z/in/jongo
nendlela	na/i/n/dlela
iindlela	i/z/in/dlela
icandelo	i/li/candelo
iikomiti	i/z/i/komiti
iikomiti	i/z/i/komiti
iikomiti	i/z/i/komiti
nangenza	na/nga/enz/a
iingxaki	i/z/in/gxaki
kwesizwe	kwa/i/si/zwe
kwesizwe	kwa/i/si/zwe
yenkqubo	ya/i/n/kqubo
zabameli	za/a/ba/meli
neenqobo	na/i/in/qobo
lwamazwe	lwa/a/ma/zwe
ngamazwe	nga/a/ma/zwe
kwabantu	kwa/a/ba/ntu
lwamazwe	lwa/a/ma/zwe
lwamazwe	lwa/a/ma/zwe
ngamazwe	nga/a/ma/zwe
eempahla	a/i/im/pahla
lohlahlo	lwa/u/hlahlo
lohlahlo	lwa/u/hlahlo
lohlahlo	lwa/u/hlahlo
iikomiti	i/z/i/komiti
lohlahlo	lwa/u/hlahlo
ulwakhiwo	u/lu/akhiwo
iinkqubo	i/z/in/kqubo
iinkonzo	i/z/in/konzo
zenkxaso	za/i/n/kxaso
neeforam	na/i/i/foram
ngokwayo	nga/oku/a/yo
engingqi	a/i/n/gingqi
iindlela	i/z/in/dlela
iinkqubo	i/z/in/kqubo
nendlela	na/i/n/dlela
iingxaki	i/z/in/gxaki
kwabantu	kwa/a/ba/ntu
iinjongo	i/z/in/jongo
kwabantu	kwa/a/ba/ntu
nendlela	na/i/n/dlela
nengqiqo	na/i/n/gqiqo
nezigidi	na/i/zi/gidi
zamaqela	za/a/ma/qela
yenzelwe	i/enz/el/w/e
lweqela	lwa/i/li/qela
kwii-cbo	ku/i/z/i/cbo
iindlela	i/z/in/dlela
nabanini	na/a/ba/nini
iingxaki	i/z/in/gxaki
yabelana	i/ab/el/an/a
iinxenye	i/z/in/xenye
iinjongo	i/z/in/jongo
eminyaka	a/i/mi/nyaka
iinkqubo	i/z/in/kqubo
zexesha	za/i/li/xesha
eminyaka	a/i/mi/nyaka
yomhlaba	ya/u/m/hlaba
kwabantu	kwa/a/ba/ntu
iinjongo	i/z/in/jongo
zexesha	za/i/li/xesha
yesibalo	ya/i/si/balo
iindlela	i/z/in/dlela
kwikholam	ku/i/kholam
kolawulo	kwa/u/lawulo
ngokuthe	nga/oku/th/e
bemfundo	ba/i/m/fundo
kolwazi	kwa/u/lu/az/i
zingenza	zi/nga/enz/a
bamaziko	ba/a/ma/ziko
ikhonkco	i/li/khonkco
lophando	lwa/u/phando
neenzuzo	na/i/in/zuzo
sizotyiwe	si/zob/iw/e
iikomiti	i/z/i/komiti
kwamanzi	kwa/a/ma/nzi
iinkqubo	i/z/in/kqubo
nezigaba	na/i/zi/gaba
nesimilo	na/i/si/milo
nengqiqo	na/i/n/gqiqo
lwezimvo	lwa/i/zim/vo
kwiphepha	ku/i/phepha
iindlela	i/z/in/dlela
ohlahlo	a/u/lu/hlahlo
kwikholam	ku/i/kholam
yesibini	ya/i/si/bini
ngemihla	nga/i/mi/hla
ngezizwe	nga/i/zi/zwe
iikomiti	i/z/i/komiti
iikomiti	i/z/i/komiti
iindlela	i/z/in/dlela
iindlela	i/z/in/dlela
kwiphondo	ku/i/phondo
namaziko	na/a/ma/ziko
namaziko	na/a/ma/ziko
namasebe	na/a/ma/sebe
yemfundo	ya/i/m/fundo
wengxaki	wa/i/n/gxaki
iimbangi	i/z/in/bangi
yenkqubo	ya/i/n/kqubo
iingxaki	i/z/in/gxaki
ngokuthe	nga/oku/th/e
icandelo	i/li/candelo
nomyinge	na/u/m/yinge
ekhulwini	e/khulu/ini
kumyinge	ku/u/m/yinge
ekhulwini	e/khulu/ini
kubutsha	ku/u/bu/tsha
nomyinge	na/u/m/yinge
ekhulwini	e/khulu/ini
kubutsha	ku/u/bu/tsha
