olwenziwe	olu/enz/iw/e
ngonyaka	nga/u/m/nyaka
semanyano	sa/i/manyano
kwixesha	ku/i/li/xesha
sokunika	sa/u/ku/nik/a
kwinjongo	ku/i/n/jongo
nobunako	na/u/bu/na/ko
kwixesha	ku/i/li/xesha
zokunika	za/u/ku/nik/a
engama-30	e/ng/a/ma/30
owenziwa	o/wu/enz/iw/a
sophuculo	sa/u/phuculo
kwinkqubo	ku/i/n/kqubo
noluzisa	na/olu/z/is/a
onikezelo	a/u/nikezelo
ukwamkela	u/ku/amkel/a
luxwebhu	l/u/lu/xwebhu
zokwenza	za/u/ku/enz/a
yokwenza	ya/u/ku/enz/a
lwempilo	lwa/i/m/philo
kwizikolo	ku/i/zi/kolo
zoqeqesho	za/u/qeqesho
nokwakha	na/u/ku/akh/a
zokhuselo	za/u/khuselo
komhlaba	kwa/u/m/hlaba
kwimibuzo	ku/i/mi/buzo
kwinkxaso	ku/i/n/kxaso
yokubeka	ya/u/ku/bek/a
novavanyo	na/u/vavanyo
yokuqala	ya/u/ku/qal/a
kwixesha	ku/i/li/xesha
yokwenza	ya/u/ku/enz/a
ngezantsi	nga/e/zantsi
sokwenza	sa/u/ku/enz/a
womzantsi	wa/u/mzantsi
zikwimeko	zi/ku/i/meko
kwinkqubo	ku/i/n/kqubo
ngokutsha	nga/oku/tsha
eyenzeka	e/yi/enz/ek/a
kwithuba	ku/i/li/thuba
ineeseti	i/na/i/i/seti
ngamehlo	nga/a/ma/ihlo
wokuqala	wa/u/ku/qal/a
soqulunqo	sa/u/qulunqo
novelwano	na/u/velwano
yokuvula	ya/u/ku/vul/a
lokwenza	la/u/ku/enz/a
izohlwayo	i/zi/ohlwayo
ziindawo	z/i/z/in/dawo
kwiikona	ku/i/z/i/kona
nokucela	na/u/ku/cel/a
kwekheshi	kwa/i/kheshi
kwekheshi	kwa/i/kheshi
nokubona	na/u/ku/bon/a
womzantsi	wa/u/mzantsi
kwizindlu	ku/i/zin/dlu
zebhokisi	za/i/bhokisi
yengeniso	ya/i/ngeniso
yomzantsi	ya/u/mzantsi
kwiinkalo	ku/i/in/kalo
elinokuba	eli/na/ukuba
yokwanda	ya/u/ku/and/a
kwiqonga	ku/i/li/qonga
lokubeka	la/u/ku/bek/a
kwixesha	ku/i/li/xesha
nengeniso	na/i/ngeniso
kwixesha	ku/i/li/xesha
kwinkqubo	ku/i/n/kqubo
yokubeka	ya/u/ku/bek/a
ngokutsha	nga/oku/tsha
zokwenza	za/u/ku/enz/a
abantwana	a/ba/ntu/ana
nokunika	na/u/ku/nik/a
ngonyaka	nga/u/m/nyaka
