olwenzelwe	olu/enz/el/w/e
okungenani	oku/nga/i/nani
esigcemeni	e/si/gceme/ini
esigcemeni	e/si/gceme/ini
nezinhlelo	na/i/zin/hlelo
nomthelela	na/u/mu/thelela
ekuletheni	e/ku/letha/ini
kwezidingo	kwa/i/zi/dingo
ezindaweni	e/zin/dawo/ini
ezindabeni	ezi/n/daba/ini
kwamakhono	kwa/a/ma/khono
ngamaqembu	nga/a/ma/qembu
ngokubanzi	nga/u/ku/banzi
nezindlela	na/i/zin/dlela
yokukwazi	ya/u/ku/ku/az/i
yokukwazi	ya/u/ku/ku/az/i
kwamamashi	kwa/a/ma/mashi
kwezidingo	kwa/i/zi/dingo
lwabalethi	lwa/a/ba/lethi
bezinhlelo	ba/i/zin/hlelo
ngamaqembu	nga/a/ma/qembu
ekhasini	e/i/li/khasi/ini
emazingeni	e/ma/zinga/ini
engxoxweni	e/ngxox/w/an/i
emaqenjini	e/ma/qembu/ini
zesikhathi	ze/i/si/khathi
wezinhlelo	wa/i/zin/hlelo
emathubeni	e/ma/thuba/ini
kwamazinga	kwa/a/ma/zinga
kwabaqashi	kwa/a/ba/qashi
yokukwenza	yo/ku/ku/enz/a
wezinhlelo	wa/i/zin/hlelo
nezinkinga	na/i/zin/kinga
ngokubanzi	nga/u/ku/banzi
bangaphansi	ba/angaphansi
okuvunyelwe	oku/vumel/w/e
ezindabeni	ezi/n/daba/ini
lwamaphuzu	lwa/a/ma/phuzu
izimpendulo	i/zin/pendulo
ngokubanzi	nga/u/ku/banzi
emanothini	e/ma/nothi/ini
bayaziswa	ba/ya/az/is/w/a
nezinkinga	na/i/zin/kinga
ngokwesimo	nga/u/kwe/simo
ezinsizeni	ezi/nsiz/a/ini
ngamaqembu	nga/a/ma/qembu
zokuthatha	za/uku/thath/a
nezinkinga	na/i/zin/kinga
kwamazinga	kwa/a/ma/zinga
kwezidingo	kwa/i/zi/dingo
neminyango	na/i/mi/nyango
ezindaweni	ezi/n/dawo/ini
zokususwa	zo/u/ku/sus/w/a
kwezindawo	kwa/i/zin/dawo
nomkhuhlane	na/umkhuhlane
kwamazinga	kwa/a/ma/zinga
nezinjongo	na/i/zin/jongo
kwabonakala	kwa/abonakala
nobunikazi	na/u/bu/nikazi
wezinhlelo	wa/i/zin/hlelo
lokulawula	la/uku/lawul/a
lweminyaka	lwa/i/mi/nyaka
zesikhathi	za/i/si/khathi
ezindaweni	ezi/n/dawo/ini
banelungelo	ba/na/lungelo
lokwengeza	lo/kwe/engez/a
lokwengeza	lo/kwe/engez/a
yezinhlobo	ya/i/zin/hlobo
kwikhanseli	ku/i/khanseli
ngekhansela	nga/ikhansela
lwezinqumo	lwa/i/zin/qumo
olwaqoshwa	o/lwa/qoph/w/a
nezinkinga	na/i/zin/kinga
yokulethwa	ya/ku/leth/w/a
ezindaweni	ezi/n/dawo/ini
namakomidi	na/a/ma/komidi
emaqenjini	e/ma/qembu/ini
ezindaweni	ezi/n/dawo/ini
zamakomidi	za/a/ma/komidi
namakomiti	na/a/ma/komiti
ngamakhono	nga/a/ma/khono
emazingeni	e/ma/zinga/ini
nezinhlelo	na/i/zin/hlelo
endleleni	e/i/n/dlela/ini
nemikhakha	na/i/mi/khakha
wezinhlelo	wa/i/zin/hlelo
wezinhlaka	wa/i/zin/hlaka
njengomgudu	njenga/umgudu
esingezansi	esi/nga/zansi
nezinjongo	na/i/zin/jongo
yizinkinga	y/i/zin/khinga
yezikhungo	ya/i/zi/khungo
nezindlela	na/i/zin/dlela
kubhekanwe	ku/bhek/an/w/a
