kunezizathu	ku/na/i/zi/zathu
komphakathi	ko/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
yomphakathi	ya/u/mu/phakathi
nabancishwe	na/aba/ncish/w/e
wezezimali	wa/i/za/i/zi/mali
ngokushesha	nga/u/ku/shesh/a
beforensikhi	ba/i/forensikhi
emsebenzini	e/mu/sebenzi/ini
wokunqamula	wa/u/ku/nqamul/a
zokuhlaziya	za/u/ku/hlaziy/a
sokucabanga	sa/u/ku/cabang/a
kwemikhiqizo	kwa/imi/khiqizo
yokudingeka	ya/uku/ding/ek/a
kwemikhiqizo	kwa/imi/khiqizo
ezokwenzeka	e/zokwe/enz/ek/a
ekuthatheni	e/ku/thath/a/ini
womphakathi	wa/u/mu/phakathi
komphakathi	ko/u/mu/phakathi
zomphakathi	zo/u/mu/phakathi
kwezinkinga	kwa/i/zin/khinga
ohlangothini	o/hlangothi/ini
ezikhungweni	e/zi/khungo/ini
nasezimweni	na/s/e/zi/mo/ini
lokuhlaziya	la/u/ku/hlaziy/a
ngentuthuko	nga/i/n/ntuthuko
ekuhambeni	e/u/ku/hamb/a/ini
lwentuthuko	lwa/i/n/ntuthuko
komphakathi	kwa/u/m/phakathi
nokuntuleka	na/u/ku/ntulek/a
okungakhiwa	oku/nga/akh/iw/a
lomphakathi	la/u/mu/phakathi
sigqugquzela	si/gqugquz/iw/a
nesabelomali	na/i/sabelomali
komphakathi	ko/u/mu/phakathi
zezentuthuko	za/za/n/tuthuko
okungenzeka	oku/nge/enz/ek/a
yokusebenza	ya/u/ku/sebenz/a
okungenzeka	oku/nga/enz/ek/a
ngezakhamizi	nga/i/zakhamizi
kweprojekthi	kwa/i/projekthi
kweprojekthi	kwa/i/projekthi
lukazwelonke	luka/u/zwelonke
nolwesifunda	na/lwe/si/funda
lomphakathi	la/u/mu/phakathi
ezehlukene	ezi/ehluk/an/e
eminyangweni	e/mi/nyango/ini
okungenziwa	oku/nga/enz/iw/a
womphakathi	wa/u/mu/phakathi
wephrojekthi	wa/i/phrojekthi
zesabiwomali	za/i/sabiwomali
nangendlela	na/nga/i/n/dlela
kwabesilisa	kwa/a/be/si/lisa
komphakathi	ko/u/mu/phakathi
zomphakathi	zo/u/mu/phakathi
ngokushesha	nga/u/ku/shesh/a
komphakathi	ko/u/mu/phakathi
yokusebenza	ya/u/ku/sebenz/a
esikhundleni	esi/khundla/ini
komphakathi	ko/u/mu/phakathi
zomphakathi	zo/u/mu/phakathi
yobandlululo	ya/u/bandlululo
ekudluliseni	e/ku/dlulis/ini
emkhandlwini	e/m/khandlu/ini
emkhandlwini	e/m/khandlu/ini
komphakathi	ko/u/mu/phakathi
emsebenzini	e/mu/sebenzi/ini
emsebenzini	e/mu/sebenzi/ini
zomphakathi	za/u/mu/phakathi
kwimiphumela	ku/i/mi/phumela
ezokususwa	e/za/u/ku/sus/w/a
komphakathi	ko/u/mu/phakathi
ezombusazwe	e/za/u/m/busazwe
yephrojekthi	ya/i/phrojekthi
lephrojekthi	la/i/phrojekthi
okungenziwa	oku/nga/enz/iw/a
nomphakathi	no/u/mu/phakathi
zomphakathi	zo/u/mu/phakathi
ezahlukene	ezi/ahluk/an/il/e
nokunqamula	na/u/ku/nqamul/a
yephrojekthi	ya/i/phrojekthi
ngomsebenzi	nga/u/mu/sebenzi
ngokwempela	nga/u/kwe/m/pela
