ekucabangeni	e/ku/cabang/a/ini
kwephrojekthi	kwa/i/phrojekthi
nokukhuthaza	na/u/ku/khuthaz/a
okuvunyelwene	oku/vumel/w/en/e
kokuphumelela	ku/oku/phumelela
kwephrojekthi	kwa/i/phrojekthi
ezinomthelela	ezi/na/m/thelela
abasezingeni	aba/s/e/zinga/ini
kwinqubomgomo	ku/i/n/qubomgomo
emphakathini	e/mu/phakathi/ini
nabesifazane	na/a/be/si/fazane
emphakathini	e/mu/phakathi/ini
emhlanganweni	e/m/hlangano/ini
emphakathini	e/mu/phakathi/ini
zokumeleleka	zo/uku/melel/ek/a
neyomthetho	na/i/ya/u/m/thetho
emphakathini	e/mu/phakathi/ini
nangamathuba	na/nga/a/ma/thuba
kwezakhamuzi	kwa/i/zi/akhamuzi
ngondunankulu	nga/o/ndunankulu
kwephrojekthi	kwa/i/phrojekthi
ezinhlelweni	e/i/zin/hlelo/ini
emhlanganweni	e/m/hlangano/ini
emphakathini	e/mu/phakathi/ini
emphakathini	e/mu/phakathi/ini
lokulungisa	lwa/u/ku/lung/is/a
kunokwenzeka	ku/na/ku/enz/ek/a
yabesifazane	ya/a/be/si/fazane
ngokuqondile	nga/u/ku/qond/ile
wabesifazane	wa/a/be/si/fazane
kokubhekana	kwa/u/ku/bhek/an/a
zesabelomali	za/i/si/abelomali
emphakathini	e/mu/phakathi/ini
ezinguqukweni	ezi/n/guquko/ini
ngokusungula	nga/u/ku/sungul/a
emphakathini	e/mu/phakathi/ini
ahlukehlukene	a/hlukehluk/an/e
emphakathini	e/mu/phakathi/ini
ezakhamuzini	e/zi/akhamuzi/ini
nenomthunzi	na/i/na/u/m/thunzi
kwinqubomgomo	ku/i/n/qubomgomo
kwenkohlakalo	kwa/i/nkohlakalo
ngokwenhlalo	nga/u/kwe/n/hlalo
labesifazane	la/a/be/si/fazane
ezemisebenzi	e/za/i/mi/sebenzi
zokuxazulula	za/u/ku/xazulul/a
abanamakhono	aba/na/a/ma/khono
nokuthuthuka	no/u/ku/thuthuk/a
njengabamele	njenga/a/ba/mel/e
emphakathini	e/mu/phakathi/ini
emphakathini	e/mu/phakathi/ini
ngokwenhlalo	nga/u/kwe/n/hlalo
zezomthetho	za/i/za/u/m/thetho
ezinhlelweni	e/i/zin/hlelo/ini
ezinhlelweni	e/i/zin/hlelo/ini
lwephrojekthi	lwa/i/phrojekthi
nelogifreyimu	na/i/logifreyimu
ngokukhiqiza	nga/u/ku/khiqiz/a
emphakathini	e/mu/phakathi/ini
ngokuhlukile	nga/u/ku/hluk/ile
emphakathini	e/mu/phakathi/ini
novuk'uzenele	na/u/vuk'uzenele
kwephrojekthi	kwa/i/phrojekthi
ezinhlelweni	e/i/zin/hlelo/ini
nokuthuthuka	na/u/ku/thuthuk/a
umsetshenzana	u/mu/sebenzi/ana
ngokwenhlalo	nga/u/kwe/n/hlalo
nokwabelana	na/u/ku/ab/el/an/a
emhlanganweni	e/m/hlangano/ini
ezinhlelweni	e/i/zin/hlelo/ini
emphakathini	e/mu/phakathi/ini
njengengxenye	njenga/i/ngxenye
emphakathini	e/mu/phakathi/ini
emphakathini	e/mu/phakathi/ini
emphakathini	e/mu/phakathi/ini
emphakathini	e/mu/phakathi/ini
emphakathini	e/mu/phakathi/ini
ngokwenhlalo	nga/u/kwe/n/hlalo
ngokuhlaziya	nga/u/ku/hlaziy/a
nokuqondiswa	na/ku/qond/is/w/a
abanamakhono	aba/na/a/ma/khono
abanamakhono	aba/na/a/ma/khono
nokuhlinzeka	na/u/ku/hlinzek/a
emphakathini	e/mu/phakathi/ini
ngokulandela	nga/u/ku/landel/a
emphakathini	e/mu/phakathi/ini
abangabavoti	aba/nga/a/ba/voti
nokubuyekeza	na/u/ku/buyekez/a
emphakathini	e/mu/phakathi/ini
anezikhundla	a/na/i/zi/khundla
emphakathini	e/mu/phakathi/ini
sekwamukelwe	se/ku/amuk/el/w/e
emphakathini	e/mu/phakathi/ini
kunesibonelo	ku/na/i/si/bonelo
emikhiqizweni	e/mi/khiqizo/ini
nokuhlinzeka	na/u/ku/hlinzek/a
emphakathini	e/mu/phakathi/ini
ezineminyaka	ezi/na/i/mi/nyaka
emhlanganweni	e/m/hlangano/ini
bengasukanga	be/nga/suka/a/nga
nabesifazane	na/a/be/si/fazane
ngokusebenza	nga/u/ku/sebenz/a
emphakathini	e/mu/phakathi/ini
kwephrojekthi	kwa/i/phrojekthi
kwephrojekthi	kwa/i/phrojekthi
sokuhlangana	so/u/ku/hlangan/a
emphakathini	e/mu/phakathi/ini
nokuqikelela	na/u/ku/qikelel/a
enokukhokhwa	e/na/ku/khokh/w/a
emphakathini	e/mu/phakathi/ini
nezimpendulo	ne/i/zi/m/pendulo
sehlukaniswe	si/ehlukan/is/w/e
ngokwenhlalo	nga/u/kwe/n/hlalo
kunezindlela	ku/na/i/zin/dlela
yokuxazulula	ya/u/ku/xazulul/a
sekwenzekile	se/ku/enz/ek/il/e
kwephrojekthi	kwa/i/phrojekthi
ukuncishiswa	u/ku/nciph/is/w/a
yezokumbiwa	ya/za/u/ku/mb/iw/a
emphakathini	e/mu/phakathi/ini
emphakathini	e/mu/phakathi/ini
bengakhathali	ba/nga/khathal/i
abangabavoti	aba/nga/a/ba/voti
emphakathini	e/mu/phakathi/ini
yabesifazane	ya/a/be/si/fazane
okuvunyelwene	oku/vumel/w/en/e
lokuqondisa	lwa/u/ku/qond/is/a
elinamalungu	eli/na/a/ma/lungu
emphakathini	e/mu/phakathi/ini
ngokucabanga	nga/u/ku/cabang/a
olungezansi	olu/nga/i/li/zansi
emphakathini	e/mu/phakathi/ini
bahlukaniswa	ba/ahlukan/is/w/a
enokuzithoba	e/na/ku/zi/thob/a
engakulindela	e/nga/akulindela
nokunikezela	no/u/ku/nikezel/a
kwephrojekthi	kwa/i/phrojekthi
ngokuphathwa	nga/u/ku/phath/w/a
nezingqinamba	na/i/zi/ngqinamba
emisebenzini	e/i/mi/sebenzi/ini
eziyidlanzana	ezi/y/idlanza/ana
ekubhekaneni	e/ku/bhek/an/a/ini
lokungenzeka	lo/ku/nga/enz/ek/a
zasekuqaleni	za/s/e/ku/qala/ini
enganamandla	e/nga/na/a/ma/ndla
emisebenzini	e/i/mi/sebenzi/ini
nawokuphatha	na/wa/u/ku/phath/a
basedolobheni	ba/s/e/dolobh/ini
nomgqugquzeli	na/u/m/gqugquzeli
zokuxazululwa	za/ku/xazulul/w/a
nge-millennium	nga/i/millennium
asemakhasini	a/s/e/ma/khasi/ini
okusondelene	oku/sondel/an/il/e
zababelethisi	za/a/ba/belethisi
kusetshenziswa	ku/sebenz/is/w/a
lwamakhansela	lwa/a/ma/khansela
kwifliphushadi	ku/i/fliphushadi
lisetshenziswe	li/sebenz/is/w/e
zezinsizakalo	za/i/zin/sizakalo
kusetshenziswa	ku/sebenz/is/w/a
lwemihlangano	lwa/i/mi/hlangano
ekwehlukaneni	e/kwe/hlukan/an/i
okuseqhulwini	oku/s/e/qhulu/ini
iqhakanjiswe	i/qhakambis/is/w/e
emisebenzini	e/i/mi/sebenzi/ini
wezinsizakalo	wa/i/zin/sizakalo
nokumeleleka	na/u/ku/melel/ek/a
nasekubekeni	na/s/e/ku/beka/ini
ekubhekaneni	e/ku/bhek/an/a/ini
namaphrojethi	na/a/ma/phrojethi
zisetshenziswe	zi/sebenz/is/w/e
kokungamandla	ku/oku/nga/mandla
ngezimpendulo	nga/i/zi/mpendulo
kunomthelela	ku/na/u/mu/thelela
ngokomthetho	nga/kwa/u/m/thetho
kwebhizinisi	kwa/i/li/bhizinisi
ngokomsebenzi	ngo/ko/mu/sebenzi
neziphakamiso	ne/i/zi/phakamiso
ngezangempela	nga/za/nge/m/pela
kwifliphushadi	ku/i/fliphushadi
ngezimpendulo	nga/i/zi/mpendulo
nemicikilisho	na/i/mi/cikilisho
kwamaphesenti	kwa/a/ma/phesenti
enkohlakalweni	e/nkohlakalo/ini
ngokusimeme	nga/u/ku/simam/il/e
ekuthathweni	e/ku/thath/w/a/ini
kwemiphakathi	kwa/i/mi/phakathi
neyabesilisa	na/i/ya/be/si/lisa
zamabhizinisi	za/a/ma/bhizinisi
wokulethelwa	wa/u/ku/lethel/w/a
nezinhlangano	na/i/zin/hlangano
nezingqinamba	na/i/zin/gqinamba
zokutheliswa	za/uku/thel/is/w/a
ekukhiqizeni	e/uku/khiqiz/e/ini
yasesikoleni	ya/s/e/si/kole/ini
njenge-overhead	njenga/overhead
nezigunyazwa	na/i/zi/gunyaz/w/a
nesilinganiso	na/i/si/linganiso
yokuziphatha	ya/u/ku/zi/phath/a
ekukhuliseni	e/ku/khul/is/a/ini
esingafanele	esi/nga/fanel/iw/e
nasezimalini	na/s/e/zi/mali/ini
zabantukazana	za/a/ba/ntukazana
nezinhlangano	na/i/zin/hlangano
nezinhlangano	ne/i/zin/hlangano
nezinhlangano	ne/i/zin/hlangano
ezikahulumeni	ezi/ka/u/hulumeni
lwesinyathelo	lwa/i/si/nyathelo
kweningizimu	kwa/i/li/ningizimu
labatheleleka	la/a/ba/theleleka
kwemishanguzo	kwa/i/mi/shanguzo
ekulawulweni	e/ku/lawul/w/a/ini
emiphumeleni	e/i/mi/phumela/ini
yokulondoloza	ya/uku/londoloz/a
lwenqubomgomo	lwa/i/n/qubomgomo
imiphakathini	i/mi/phakathi/ini
yezilinganiso	ya/i/zi/linganiso
njengezempilo	njenga/ze/m/philo
ngokuqukethwe	nga/u/ku/qukethwe
ekwethulweni	e/ku/ethul/w/a/ini
ekuthathweni	e/ku/thath/w/a/ini
zephrojekthi	za/i/li/phrojekthi
zokulingana	za/u/ku/lingan/an/a
zinomsebenzi	zi/na/u/mu/sebenzi
ngamaphesenti	nga/a/ma/phesenti
nokuvikeleka	na/u/ku/vikel/ek/a
kwifliphushadi	ku/i/fliphushadi
ngokomthetho	nga/kwa/u/m/thetho
zisetshenziswe	zi/sebenz/is/w/e
ezinkampanini	i/zin/kampani/ini
ngokulawulwa	nga/u/ku/lawul/w/a
kwemiphakathi	kwa/i/mi/phakathi
nezinhlangano	na/i/zin/hlangano
kwezinyathelo	kwa/i/zi/nyathelo
ekuthathweni	e/ku/thath/w/a/ini
nezinhlangano	na/i/zin/hlangano
ngokuthuthwa	nga/u/ku/thuth/w/a
kwemiphakathi	kwa/i/mi/phakathi
nge-millennium	nga/i/millennium
emisebenzini	e/i/mi/sebenzi/ini
ekuqinisweni	e/ku/qinis/w/a/ini
nenesakhiwo	na/i/na/i/si/akhiwo
okugqugquzela	a/uku/gqugquzel/a
kwenqubomgomo	kwa/i/n/qubomgomo
neziphakamiso	na/i/zi/phakamiso
lokucabangela	la/uku/cabangel/a
nokukhulumela	na/ku/khulum/el/a
basezindlini	ba/s/e/zi/ndlu/ini
kwezinyathelo	kwa/i/zi/nyathelo
ngokuqondile	nga/u/ku/qond/il/e
yokuziphatha	ya/u/ku/zi/phath/a
emisebenzini	e/i/mi/sebenzi/ini
esetshenzisiwe	e/sebenz/is/iw/e
ngokwephulwa	nga/u/kwe/phul/w/a
kwezesayensi	kwa/e/za/i/sayensi
nge-inthanethi	nga/i/inthanethi
emisebenzini	e/i/mi/sebenzi/ini
ngokomsebenzi	ngo/ko/mu/sebenzi
emisebenzini	e/i/mi/sebenzi/ini
kwezimbangela	kwa/i/zi/mbangela
nokuqeqeshwa	na/u/ku/qeqesh/w/a
emisebenzini	e/i/mi/sebenzi/ini
kwezomthetho	kwa/iza/u/m/thetho
kwamahemuhemu	kwa/a/ma/hemuhemu
nezinhlangano	na/i/zin/hlangano
