kokusetshenziswa	kwa/u/ku/sebenz/is/w/a
nasekubuyekezeni	na/s/e/ku/buyekez/a/ini
ngokungenasidingo	nga/u/ku/ngena/sidingo
somthethosisekelo	sa/u/mu/thethosisekelo
ekuqinisekiseni	e/u/ku/qinis/ek/is/a/ini
esingasetshenziswa	esi/nga/sebenz/is/w/a
nezinsizakusebenza	na/izi/nsizakusebenza
somthethosisekelo	sa/u/mu/thethosisekelo
ekusetshenzisweni	e/ku/sebenz/is/w/a/ini
ezingasetshenziswa	ezi/nga/sebenz/is/w/a
ekuqinisekiseni	e/u/ku/qinis/ek/is/a/ini
nasekubuyekezeni	na/s/e/ku/buyekez/a/ini
ekuqinisekiseni	e/u/ku/qinis/ek/is/a/ini
ekusetshenzisweni	e/ku/sebenz/is/w/a/ini
abasemhlanganweni	aba/s/e/m/hlangano/ini
ekuthuthukisweni	e/ku/thuthuk/is/w/a/ini
umthethosivivinywa	u/mu/thethosivivinywa
somthethosisekelo	sa/u/mu/thethosisekelo
nokusatshalaliswa	no/u/ku/satshalalisw/a
abasemhlanganweni	aba/s/e/m/hlangano/ini
ngokusebenzisana	nga/u/ku/sebenz/is/an/a
ezingasetshenziswa	ezi/nga/sebenz/is/w/a
ngezisetshenziswa	nga/i/zi/sebenz/is/w/a
ekuqinisekiseni	e/u/ku/qinis/ek/is/a/ini
asebeyizakhamuzi	a/se/be/y/i/zi/akhamuzi
ekuqinisekiseni	e/u/ku/qinis/ek/is/a/ini
nasekuphenduleni	na/s/e/ku/phendul/a/ini
ekuqinisekiseni	e/u/ku/qinis/ek/is/a/ini
banezintshisekelo	ba/na/i/zin/tshisekelo
abasemhlanganweni	aba/s/e/m/hlangano/ini
ngosekwenzekile	nga/u/s/e/ku/enz/ek/il/e
ekuqinisekiseni	e/u/ku/qinis/ek/is/a/ini
wumthethosisekelo	wu/u/mu/thethosisekelo
umthethosivivinywa	u/mu/thethosivivinywa
yokuziphendulela	ya/u/ku/zi/phendul/el/a
ngokusebenzisana	nga/u/ku/sebenz/is/an/a
ekusebenzisaneni	e/ku/sebenz/is/an/a/ini
okunemininingwane	oku/na/i/mi/niningwane
somthethosisekelo	sa/u/mu/thethosisekelo
angayedlulisela	a/nga/i/yi/edlul/is/el/a
yomakhalekhukhwini	ya/u/makhalekhukhwini
ngokusebenzisana	nga/u/ku/sebenz/is/an/a
ngokulindelekile	nga/u/ku/lindel/ek/il/e
elingasetshenziswa	eli/nga/sebenz/is/w/a
nasemihlanganweni	na/s/e/mi/hlangano/ini
ekuthuthukisweni	e/ku/thuthuk/is/w/a/ini
zomthethosisekelo	za/u/mu/thethosisekelo
nomthethosisekelo	na/u/mu/thethosisekelo
kwabebesemgqeni	kwa/abe/be/s/e/m/gqa/ini
somthethosisekelo	sa/u/mu/thethosisekelo
ekusetshenzisweni	e/ku/sebenz/is/w/a/ini
nababahlukumezayo	na/aba/ba/hlukumeza/yo
komthethosivivinywa	ku/mthethosivivinywa
lokushintshisana	la/u/ku/shintsh/is/an/a
lokushintshisana	la/u/ku/shintsh/is/an/a
ekusebenzisaneni	e/ku/sebenz/is/an/a/ini
ekusetshenzisweni	e/ku/sebenz/is/w/a/ini
nokulusabalalisa	na/u/ku/lu/sabalal/is/a
nokushintshisana	na/u/ku/shintsh/is/an/a
ekuqinisekiseni	e/u/ku/qinis/ek/is/a/ini
osenkombandleleni	o/se/n/kombandlela/ini
ekuqinisekiseni	e/u/ku/qinis/ek/is/a/ini
olunemininingwane	olu/na/i/mi/niningwane
ezingasetshenziswa	ezi/nga/sebenz/is/w/a
nenesiqinisekiso	na/i/na/i/si/qinisekiso
ngezisetshenziswa	nga/i/zi/sebenz/is/w/a
njengokulinganayo	njenga/u/ku/lingana/yo
nasemihlanganweni	na/s/e/mi/hlangano/ini
ekuzibandakanyeni	e/ku/zi/bandakany/a/ini
yenqubekelaphambili	ye/inqubekelaphambili
lomthethosisekelo	lwa/u/mu/thethosisekelo
ngumthethosisekelo	ng/u/mu/thethosisekelo
ngokuyiqhathanisa	nga/u/ku/yi/qhathanis/a
nenokuzibophezela	no/no/ku/zi/bophez/el/a
nasekusungulweni	na/s/e/ku/sungul/w/a/ini
lokuzithuthukisa	lwa/u/ku/zi/thuthuk/is/a
enokusebenziseka	e/na/u/ku/sebenz/is/ek/a
nangokubambisana	na/nga/u/ku/bamb/is/an/a
ngokwehlukahlukana	ngo/u/kwe/hlukahlukana
ngokwehlukahlukana	nga/u/kwe/hlukahlukana
anjengokulungiswa	anjenga/u/ku/lungis/w/a
enokusebenziseka	e/na/u/ku/sebenz/is/ek/a
njengamakhasimende	njenga/a/ma/khasimende
komthethosisekelo	kwa/u/mu/thethosisekelo
nenqubekelaphambili	na/n/qubekelaphambili
komthethosivivinywa	ku/omthethosivivinywa
nasemabhizinisini	na/s/e/ma/bhizinisi/ini
nasekuziphatheni	na/s/e/ku/zi/phath/e/ini
komthethosisekelo	kwa/u/mu/thethosisekelo
yezinsizakusebenza	ya/i/zin/sizakusebenza
ezingahlukaniseki	ezi/nga/ahlukan/is/ek/i
nenqubekelaphambili	na/n/qubekelaphambili
yenqubekelaphambili	ye/inqubekelaphambili
nangokuhambisana	na/nga/u/ku/hamb/is/an/a
