wokuhlela	wa/u/ku/hlel/a
umphakathi	u/mu/phakathi
nephrojethi	na/phrojethi
sokuhlela	sa/u/ku/hlel/a
yokuhlela	ya/u/ku/hlel/a
nohulumeni	na/o/hulumeni
eziningana	ezi/ningi/ana
umphakathi	u/mu/phakathi
wokugcina	wo/u/ku/gcin/a
enemigudu	e/na/i/mi/gudu
nokuhlola	na/u/ku/hlol/a
nokuqhuba	na/u/ku/qhub/a
yokuxosha	ya/u/ku/xosh/a
umphakathi	u/mu/phakathi
ngokuveza	nga/u/ku/vez/a
ongeqiniso	o/nga/iqiniso
kamasipala	ka/u/masipala
kamasipala	ka/u/masipala
okunomsoco	o/kuna/umsoco
okunomsoco	o/kuna/umsoco
ezinganeni	ezi/ngane/ini
wengxabano	wa/i/ngxabano
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
nokuqapha	na/u/ku/qaph/a
umphakathi	u/mu/phakathi
sezinhloso	sa/i/zin/hloso
kahulumeni	ka/u/hulumeni
umphakathi	u/mu/phakathi
ekuvezeni	e/ku/vez/a/ini
yokuhlela	ya/u/ku/hlel/a
ziqukethe	zi/qukath/e
umphakathi	u/mu/phakathi
nomhlinzeki	na/mhlinzeki
esigcemeni	esi/gceme/ini
umphakathi	u/mu/phakathi
uqhubekele	u/qhub/ek/el/e
umhlangano	u/mu/hlangano
umphakathi	u/mu/phakathi
kahulumeni	ka/u/hulumeni
komjikelezo	ku/mjikelezo
ezinyathelo	izi/nyathelo
kahulumeni	ka/u/hulumeni
kahulumeni	ka/u/hulumeni
emhlabeni	e/mu/hlaba/ini
sokukhula	sa/u/ku/khul/a
yokuhlela	ya/u/ku/hlel/a
kazwelonke	ka/u/zwelonke
kuhulumeni	ku/u/hulumeni
umphakathi	u/mu/phakathi
kwemihlanu	kwa/emi/hlanu
kamasipala	ka/u/masipala
zokukhula	za/u/ku/khul/a
buhlukene	bu/hlukan/il/e
yabe-aicdd	ya/a/be/aicdd
nomthetho	na/u/mu/thetho
nengxabano	na/i/ngxabano
abaxabene	aba/xaban/il/e
umphakathi	u/mu/phakathi
umphakathi	u/mu/phakathi
besohlwini	ba/i/sohlwini
komthetho	kwa/u/m/thetho
kahulumeni	ka/u/hulumeni
ezehlukile	ezi/ehluk/ile
sezingeni	sa/i/zinga/ini
kumayelana	ku/mayela/ana
ithunyelwe	i/thum/el/w/e
kamasipala	ka/u/masipala
kamasipala	ka/u/masipala
nomasipala	na/u/masipala
nokunikeza	na/u/ku/nikez/a
benolwazi	ba/na/u/lu/azi
lokubheka	la/u/ku/bhek/a
nekhansela	na/i/khansela
kahulumeni	ka/u/hulumeni
kuzwelonke	ku/i/zwelonke
ngemfanelo	nge/i/mfanelo
kahulumeni	ka/u/hulumeni
sokugcina	sa/u/ku/gcin/a
ekwenzeni	e/ku/enz/a/ini
esakhamuzi	i/si/akhamuzi
umphakathi	u/mu/phakathi
kuxhumane	ku/xhuman/il/e
nolwe-idp	na/u/lwa/i/idp
ezezimali	e/za/i/zi/mali
zokuxhasa	za/u/ku/xhas/a
kwelungelo	kwa/i/lungelo
zomasipala	za/o/masipala
ukwamukela	u/ku/amukel/a
luyakheka	lu/ya/akh/ek/a
nekhansela	na/i/khansela
kohulumeni	ku/o/hulumeni
umphakathi	u/mu/phakathi
sengxabano	se/i/ngxabano
abehlukene	aba/hluk/an/e
angenzeka	a/nga/enz/ek/a
engenzeka	e/nga/enz/ek/a
okweluleka	okwa/elulek/a
umphakathi	u/mu/phakathi
